id,age,gender,timepoint,group,training_sessions,academic_total_scores,training_slope
1,12.44444444,M,T0,experimental,17,123,-5.397101039
2,9.825,M,T0,control,29,128.5,-2.657759774
3,12.46388889,M,T0,control,23,137,-7.271595887
4,11.83888889,F,T0,experimental,11,111.5,-10.06874666
5,7.611111111,M,T0,control,21,113,-12.12877727
6,7.894444444,F,T0,control,24,113.5,-11.14073729
7,7.019444444,F,T0,control,20,98.5,-0.397881039
8,6.747222222,M,T0,experimental,21,126,-4.924068256
9,9.816666667,M,T0,experimental,15,140.5,-3.743527966
10,11.10555556,M,T0,experimental,8,113,-4.815838193
11,8.319444444,M,T0,control,10,98.5,-11.70008436
12,13.31666667,M,T0,experimental,10,112.5,10.63622881
13,10.19166667,M,T0,control,21,114,-5.47400772
14,7.988888889,F,T0,experimental,21,131,-4.855376307
15,10.6,M,T0,experimental,25,128.5,4.668904041
16,7.197222222,F,T0,experimental,12,129,-1.27390570599999
17,10.43333333,M,T0,experimental,20,123,-2.425941022
18,8.533333333,F,T0,experimental,20,133.5,-4.623863172
19,6.769444444,M,T0,control,14,125,-0.858355905999999
20,6.280555556,F,T0,experimental,22,121,-8.254373957
21,9.669444444,F,T0,control,26,113.5,-4.573440018
22,12.12777778,M,T0,control,23,134,-7.41472161299999
23,8.211111111,M,T0,experimental,6,125,-16.82935118
24,9.855555556,F,T0,control,3,120.5,-12.15139255
25,8.925,F,T0,experimental,31,96.5,-6.464053606
26,7.777777778,M,T0,control,12,112,-16.45539284
27,12.61388889,M,T0,control,20,117,-5.976103256
28,8.216666667,F,T0,control,18,112.5,3.50537097699999
29,8.416666667,M,T0,experimental,19,132,-1.551396059
30,10.67777778,F,T0,experimental,22,123,-3.738674676
31,10.67777778,F,T0,experimental,23,111.5,-8.089684289
32,6.372222222,M,T0,control,32,98.5,-2.644401409
33,6.375,F,T0,control,26,109.5,-5.914525327
34,7.344444444,F,T0,experimental,23,125.5,-5.586923874
35,6.391666667,F,T0,experimental,5,108,-49.27718173
36,6.630555556,F,T0,control,16,121.5,-11.85479806
37,6.280555556,F,T0,experimental,6,93.5,2.52372926699999
38,8.502777778,F,T0,control,16,109.5,-12.09961233
39,10.54444444,F,T0,control,4,111.5,-67.07229196
40,9.616666667,M,T0,experimental,12,122,-7.56726116
41,6.191666667,F,T0,experimental,10,103,-12.63661247
42,10.92222222,F,T0,control,6,110,-42.4189876
43,7.9,F,T0,control,6,130,-78.31253629
44,9.494444444,M,T0,control,5,111,-64.60448758
45,7.033333333,F,T0,control,11,109.5,7.216829838
46,8.811111111,F,T0,control,22,104,-1.775282573
