ID,L_ILF_FA_t1,L_ILF_MD_t1,L_ILF_RD_t1,R_ILF_FA_t1,R_ILF_MD_t1,R_ILF_RD_t1,L_UF_FA_t1,L_UF_MD_t1,L_UF_RD_t1,R_UF_FA_t1,R_UF_MD_t1,R_UF_RD_t1,L_IFOF_FA_t1,L_IFOF_MD_t1,L_IFOF_RD_t1,R_IFOF_FA_t1,R_IFOF_MD_t1,R_IFOF_RD_t1,L_FAT_FA_t1,L_FAT_MD_t1,L_FAT_RD_t1,R_FAT_FA_t1,R_FAT_MD_t1,R_FAT_RD_t1,
1,0.481942,0.000957062,0.00067917,0.466114,0.000966148,0.000697729,0.414022,0.000950897,0.000719157,0.437383,0.000925608,0.000684438,0.494429,0.000941594,0.000657011,0.496951,0.000957218,0.000666811,n/a,n/a,n/a,0.42672,0.000901235,0.000676624,
2,0.476941,0.000947856,0.000674942,0.485684,0.000969477,0.000685705,0.40963,0.000938135,0.000712476,0.405158,0.000937167,0.000714237,0.485758,0.000917028,0.00064467,0.492589,0.000931551,0.000649094,0.432917,0.000896036,0.000666497,0.424459,0.000893246,0.000673408,
3,0.481306,0.000929825,0.000656464,0.475301,0.000947629,0.00067665,0.415156,0.000896507,0.00067879,0.404477,0.000917069,0.000700391,0.489952,0.000895787,0.000630221,0.495429,0.000937013,0.000649946,0.436236,0.000863782,0.000636692,0.457945,0.000870839,0.000632342,
4,0.507355,0.000947605,0.000647053,0.48682,0.000955013,0.000671554,0.449604,0.000902585,0.000659845,0.427362,0.000926936,0.000690042,0.496249,0.000922518,0.000638838,0.48468,0.000933465,0.000655152,0.448077,0.000876447,0.000641686,0.45751,0.000908508,0.000661883,
6,0.467189,0.000943694,0.000681198,0.408162,0.000952174,0.000733783,0.412597,0.000937019,0.000715905,0.430524,0.000937833,0.000698475,0.500819,0.000927422,0.000642521,0.494235,0.000938562,0.000656155,0.417107,0.000914236,0.000689818,n/a,n/a,n/a,not sure if left FAT is two tracts or one
8,0.455145,0.000941257,0.000695924,0.431581,0.000963602,0.000725656,0.418562,0.00095329,0.000717078,0.404643,0.000957848,0.000729757,0.492809,0.000939098,0.000658458,0.489616,0.000943452,0.000662718,n/a,n/a,n/a,0.453467,0.000913829,0.00066817,
9,0.507036,0.000926914,0.000632205,0.464132,0.000938351,0.000680636,0.442331,0.00089948,0.000661817,0.449731,0.000903396,0.000660715,0.518342,0.000907169,0.000613091,0.502246,0.000919563,0.000636861,n/a,n/a,n/a,0.497763,0.000946174,0.00066674,
12,0.497586,0.000941139,0.000659795,0.494111,0.000947149,0.000661109,0.419115,0.000912585,0.00068929,0.426788,0.000911545,0.000683359,0.497934,0.000931979,0.000648946,0.498317,0.000935083,0.000653595,0.451599,0.000869975,0.000637289,0.42021,0.000882635,0.000669849,
13,0.507099,0.000941025,0.00064549,0.488414,0.000946124,0.00066572,0.455813,0.000938413,0.00068067,0.429649,0.000947229,0.000704296,0.507822,0.000948459,0.000649658,0.512285,0.000936278,0.000637988,0.431567,0.000878161,0.000660057,0.430361,0.000907797,0.000687683,
14,0.470404,0.000968356,0.000694438,0.445855,0.000954496,0.000711908,0.42296,0.000947154,0.000709939,0.410948,0.000952689,0.000720841,0.49856,0.000951281,0.00066086,0.487401,0.000959673,0.000674852,0.437818,0.000904573,0.000669803,n/a,n/a,n/a,
15,0.483607,0.000931745,0.000665494,0.46027,0.000967315,0.000704936,0.442686,0.000922766,0.000679562,0.428328,0.000949931,0.000707393,0.504563,0.000923302,0.00063823,0.501635,0.000943277,0.000652387,0.481389,0.000888168,0.000622516,0.451073,0.000899271,0.000659885,
19,0.45767,0.00100391,0.000733774,0.444103,0.00104223,0.000767449,0.388829,0.000997226,0.000773067,0.390636,0.000978986,0.00075861,0.455876,0.000992545,0.000724536,0.458378,0.00100698,0.000730474,n/a,n/a,n/a,n/a,n/a,n/a,
21,0.485507,0.00090312,0.000637862,0.493187,0.000922395,0.000644008,0.441691,0.000897475,0.000660558,0.447229,0.000892739,0.000655998,0.473073,0.000890818,0.000637394,0.488704,0.000904437,0.000633296,0.447417,0.000854252,0.000627697,0.436427,0.000850892,0.000636385,
22,0.519457,0.000857977,0.00058396,0.503043,0.000878256,0.000611249,0.462092,0.000881406,0.000636884,0.463074,0.000874682,0.000630164,0.553166,0.000851,0.000552829,0.54652,0.000871946,0.000567625,0.470023,0.000819177,0.000588516,0.459962,0.000817856,0.000592953,
27,0.53799,0.000895406,0.000590928,0.472095,0.000913069,0.00065435,0.462449,0.000892707,0.000643285,0.46894,0.000887798,0.000634887,0.529496,0.000898682,0.000598173,0.534427,0.000901292,0.000597096,0.470339,0.000835772,0.00059908,0.482973,0.000839016,0.000592932,
29,0.503712,0.000943384,0.000649501,0.501547,0.000976269,0.000672219,0.453906,0.000920128,0.00066875,0.454954,0.000919521,0.000664902,0.521459,0.000909947,0.000613465,0.502566,0.000933862,0.000644512,0.459605,0.000876066,0.000636835,0.430057,0.000900526,0.00067787,
30,0.483664,0.000919397,0.000651456,0.452353,0.000975405,0.000712541,0.409867,0.00092102,0.000700264,0.415512,0.000928059,0.00070205,0.484376,0.000917985,0.000649325,0.501226,0.000942607,0.000652542,0.480247,0.000889577,0.000633554,n/a,n/a,n/a,
31,0.512353,0.000936432,0.000639669,0.450625,0.000953958,0.000695768,0.450607,,0.000668224,0.427579,0.000934833,0.000699197,0.506258,0.000905504,0.000624543,0.5153,0.000937658,0.000637292,0.404574,0.00091491,0.000705411,0.424827,0.000887063,0.000670006,
32,0.453058,0.000958151,0.000702738,0.424056,0.000970694,0.000733168,0.458287,0.000916093,0.000667587,0.434804,0.000950307,0.000701347,0.495371,0.000956249,0.00066519,0.465952,0.000967531,0.000695772,0.437564,0.000918821,0.000682893,n/a,n/a,n/a,
33,0.498284,0.000923003,0.000645034,0.473396,0.000931765,0.000667969,0.446806,0.000923961,0.000677282,0.446677,0.000923415,0.000676154,0.507822,0.00090404,0.000620455,0.501362,0.000920213,0.000636331,n/a,n/a,n/a,0.446424,0.000879545,0.000642712,
34,0.482213,0.000919562,0.000655802,0.471438,0.00096512,0.000696754,0.42715,0.000904784,0.000679194,0.424751,0.000924349,0.00069201,0.512819,0.000921305,0.000628148,0.49711,0.00091828,0.000637968,n/a,n/a,n/a,n/a,n/a,n/a,
38,0.546745,0.000938633,0.000614055,0.509297,0.000940719,0.000648105,0.47658,0.000899173,0.000644312,0.449076,0.000934491,0.000684986,0.561119,0.000916982,0.000587865,0.508694,0.000937783,0.00064591,0.429522,0.000879733,0.000668121,0.472847,0.000885314,0.000631187,
39,0.499063,0.000924455,0.000647497,0.473689,0.000932761,0.000665936,0.380481,0.000905455,0.000706572,0.445959,0.000909781,0.00066688,0.485057,0.00092827,0.0006578,0.490208,0.000933607,0.000655913,0.458933,0.000880041,0.000637069,0.471642,0.000866367,0.000623401,
40,0.481933,0.000934094,0.00066739,0.497466,0.000949862,0.000662284,0.424014,0.000940916,0.000708649,0.440788,0.00093036,0.000687036,0.50019,0.000929694,0.00064607,0.519052,0.00094015,0.000633881,0.461268,0.000901299,0.000656892,0.447737,0.000898084,0.000656746,
41,0.489468,0.000935613,0.00066009,0.46875,0.000945841,0.00067806,0.443154,0.000961599,0.000709655,0.435981,0.000945551,0.000700371,0.536144,0.000929404,0.000618427,0.526071,0.000940695,0.000632493,0.453514,0.00090103,0.000658799,0.453779,0.000900462,0.000659449,
45,0.451758,0.000951157,0.000698496,0.447952,0.000974584,0.000720995,0.397053,0.000942108,0.000723666,0.41845,0.000946125,0.00071123,0.454106,0.000956558,0.00070063,0.473001,0.000968824,0.00069248,0.433402,0.000910755,0.000677242,0.401044,0.000901001,0.000697933,
47,0.491618,0.000927575,0.000656298,0.458356,0.000936979,0.000689485,0.424879,0.000927716,0.00069551,0.40996,0.000927654,0.000704153,0.512792,0.000912704,0.00062626,0.50251,0.000931962,0.000931962,0.446603,0.000872892,0.000642453,0.454221,0.00087482,0.000640446,
48,0.474453,0.000969528,0.00068992,0.469153,0.00097433,0.000702673,0.461326,0.000951477,0.000684281,0.429815,0.000958916,0.000716415,0.495288,0.000943374,0.000659605,0.505137,0.000956457,0.000658449,0.417664,0.000893952,0.000677288,0.426628,0.000903554,0.000682733,
