P_ID,preSMA_L_t1,HavardOxford_Cortl_t1,Calcarine_R_t1,Caudate_R_t1,Putamen_R_t1,Thalamus_R_t1,,,,,,,
101,-1.237440093,-2.836312128,-0.520743094,-1.233353675,-1.568890027,-0.959256935,,,,,,,
103,1.042015424,-0.30965277,2.190377944,0.582729801,-0.137304242,0.078064696,,,,,,,
105,0.208228162,-0.86750481,-1.433436283,-0.905869825,-1.086986249,-0.222850914,,,,,,,
106,0.033079512,-0.519603065,1.127833168,-0.132614123,0.324824827,0.084061916,,,,,,,
108,-17.09178432,-16.33278238,-18.94837014,-12.64389552,-12.804085,-10.62427812,,,,,,,
109,-0.359339361,0.246929378,0.457624374,-0.063913113,-0.281289774,0.191108452,,,,,,,
113,-1.983185667,-2.512469902,-2.71887479,-1.743839425,-2.052010794,-1.264300503,,,,,,,
114,-3.284124131,-4.285190324,-3.286233607,-2.773840709,-2.888045158,-2.122088473,,,,,,,
119,-1.301562252,1.41293548,-2.54471539,-0.436462611,-1.173533724,-1.139507211,,,,,,,
120,-0.279725358,1.26194323,-0.294727685,-0.502419971,-0.031303965,-0.142416898,,,,,,,
121,36.98651896,41.59761707,41.77342636,27.64802997,29.15133497,25.06634887,,,,,,,
128,41.78545787,46.6698197,45.98939044,34.33704713,35.29456866,31.33742236,,,,,,,
12,0.827350889,1.299910835,0.342245192,1.074106748,0.674213765,0.619683213,,,,,,,
132,0.457031459,0.037275729,-1.299698896,0.009807,-0.230299887,-0.13019218,,,,,,,
13,1.646749961,1.710933491,0.768171112,0.871966702,0.587232576,0.359831084,,,,,,,
14,1.467449941,3.063667931,1.318064775,0.839425468,1.918591767,0.63718334,,,,,,,
15,0.371002372,1.315162554,0.437445162,0.21681384,-0.464943836,0.15726358,,,,,,,
19,0.783315395,0.497025561,0.127013058,-0.605763326,0.18000848,0.283321994,,,,,,,
1,0.986844931,-0.747408713,0.055672506,-0.115305581,-0.400307661,0.360967184,,,,,,,
21,1.012499551,1.787934841,1.65905666,0.553869814,1.143829211,0.972962981,,,,,,,
22,-9.579843129,-9.671114108,-9.001157375,-6.095772171,-7.074888818,-5.515598845,,,,,,,
27,-0.299946354,0.862191403,0.856381878,0.361537065,1.026385928,0.582157358,,,,,,,
29,-0.053434861,0.085430059,-0.890313793,0.160149559,0.404227264,0.257918252,,,,,,,
2,2.107013499,0.71684731,0.853812546,0.502083909,0.036317585,0.837909374,,,,,,,
30,0.442455761,1.16681879,-0.167738653,0.333732813,-0.182066259,-0.294243897,,,,,,,
31,0.220484643,-0.567226557,0.810452991,0.448700193,-0.566357915,-0.151353197,,,,,,,
33,0.268358137,-1.330768729,-1.682522088,-1.388291932,-0.747952032,-0.501101739,,,,,,,
38,0.963014625,-0.127379543,0.854246023,-0.030283461,0.398146898,0.190576467,,,,,,,
39,1.136820398,-0.542256095,1.297776418,0.45607972,0.735538043,0.552466112,,,,,,,
3,0.410943828,0.126533767,-0.352999272,-0.394414742,0.036411341,0.084012951,,,,,,,
40,0.030559223,-0.799715759,-0.181512607,-0.333366542,-0.460825236,-0.235682048,,,,,,,
41,0.14875007,1.499302554,1.643940759,0.082780323,0.672940229,1.077203277,,,,,,,
45,-8.420793836,-10.18589749,-8.258688213,-7.268207933,-6.737830591,-5.304543366,,,,,,,
47,-1.241865685,0.183085467,-2.878153576,-1.415194552,-1.381719692,-0.896415276,,,,,,,
48,-13.97229628,-16.04482196,-15.60839317,-9.699064542,-10.91387814,-8.297126337,,,,,,,
4,2.794294416,0.982932572,-0.10743817,0.37027022,0.536509025,0.496890436,,,,,,,
50,3.901071954,3.530313832,3.48395525,2.04711305,2.645489106,2.200678682,,,,,,,
55,1.063369457,-0.053332302,-0.296476178,0.196999071,0.427178409,0.152310833,,,,,,,
57,-4.199170894,-6.869441089,-7.687468197,-4.470072638,-4.15685591,-2.874891993,,,,,,,
58,0.011971837,0.86731398,0.019027,-0.458902213,-0.597702753,-0.154492006,,,,,,,
59,-0.71587962,-0.13799596,-0.217912347,-1.947531416,-2.209290788,-2.157640926,,,,,,,
61,19.27996087,20.11830102,22.33099364,13.09939451,13.12939993,11.68587914,,,,,,,
65,13.36553282,14.94962624,12.30712807,9.291488418,9.545038992,7.535443315,,,,,,,
67,-0.694372714,0.247783033,-2.170345725,-0.8312813,-1.058489311,-0.81572662,,,,,,,
68,-0.127161168,-2.680485633,-1.337913705,-0.591436611,-1.154974899,-0.14876393,,,,,,,
6,1.340865177,1.21354919,2.053395545,0.595799478,0.914203234,1.264433061,,,,,,,
73,-4.486374499,-8.623457497,-6.622195336,-4.13975707,-5.172266239,-3.837969156,,,,,,,
74,0.967153359,1.183739606,-0.655693757,0.211127553,0.185167397,-0.190873794,,,,,,,0001.nii'
80,-0.571506846,-1.082364052,-1.977421116,0.333729577,-0.733160507,-0.186940097,,,,,,,
81,-1.600145776,-1.999389778,-2.78003058,-1.665789219,-1.562957136,-0.937277196,,,,,,,
85,4.929755835,11.04107958,7.476502398,4.027353043,5.33325843,5.11339751,,,,,,,
86,-4.375920223,-5.06255571,-5.031101824,-3.435605008,-3.666980327,-2.557234768,,,,,,,
88,-1.024012612,-1.659361503,-1.912543452,-0.896320981,-1.253604048,-0.851941735,,,,,,,
90,0.836714089,0.397862332,0.317338194,0.180455628,0.056895981,0.493534933,,,,,,,
91,0.82963674,0.817781682,0.354952122,0.224288528,0.042456081,-0.123672285,,,,,,,0001.nii'
92,-0.399952934,-1.199811761,-1.095007002,-0.822018735,-0.718954746,-0.657727088,,,,,,,
96,0.751370855,1.125346498,0.021537806,-0.455613114,-0.406267725,-0.164077829,,,,,,,
9,-15.43867627,-18.23243691,-20.64326619,-11.0106444,-11.97776063,-10.40830318,,,,,,,
