id,gender,age,group,training_sessions,Total,training_slope,timepoint
1,M,12.44444444,1,17,12,-5.397101039,0
2,M,9.825,2,29,23,-2.657759774,0
3,M,12.46388889,2,23,5,-7.271595887,0
4,F,11.83888889,1,11,34,-10.06874666,0
5,M,7.611111111,2,21,22,-12.12877727,0
6,F,7.89444444399999,2,24,22,-11.14073729,0
7,F,7.01944444399999,2,20,41,-0.397881039,0
8,M,6.747222222,1,21,19,-4.924068256,0
9,M,9.816666667,1,15,32,-3.743527966,0
10,M,11.10555556,1,8,6,-4.815838193,0
11,M,8.319444444,2,10,11,-11.70008436,0
12,M,13.31666667,1,10,4,10.63622881,0
13,M,10.19166667,2,21,26,-5.47400772,0
14,F,7.988888889,1,21,33,-4.855376307,0
15,M,10.6,1,25,28,4.668904041,0
16,F,7.197222222,1,12,15,-1.27390570599999,0
17,M,10.43333333,1,20,28,-2.425941022,0
18,F,8.533333333,1,20,21,-4.623863172,0
19,M,6.76944444399999,2,14,23,-0.858355905999999,0
20,F,6.280555556,1,22,24,-8.254373957,0
21,F,9.669444444,2,26,28,-4.573440018,0
22,M,12.12777778,2,23,21,-7.41472161299999,0
23,M,8.211111111,1,6,26,-16.82935118,0
24,F,9.855555556,2,3,34,-12.15139255,0
25,F,8.925,1,31,25,-6.464053606,0
26,M,7.777777778,2,12,21,-16.45539284,0
27,M,12.61388889,2,20,21,-5.976103256,0
28,F,8.216666667,2,18,33,3.50537097699999,0
29,M,8.416666667,1,19,4,-1.551396059,0
30,F,10.67777778,1,22,20,-3.738674676,0
31,F,10.67777778,1,23,26,-8.089684289,0
32,M,6.372222222,2,32,21,-2.644401409,0
33,F,6.375,2,26,37,-5.914525327,0
34,F,7.344444444,1,23,21,-5.586923874,0
35,F,6.391666667,1,5,15,-49.27718173,0
36,F,6.630555556,2,16,22,-11.85479806,0
37,F,6.280555556,1,6,18,2.52372926699999,0
38,F,8.50277777799999,2,16,40,-12.09961233,0
39,F,10.54444444,2,4,15,-67.07229196,0
40,M,9.616666667,1,12,14,-7.56726116,0
41,F,6.191666667,1,10,15,-12.63661247,0
42,F,10.92222222,2,6,26,-42.4189876,0
43,F,7.9,2,6,19,-78.31253629,0
44,M,9.49444444399999,2,5,16,-64.60448758,0
