ID,Session,DG_Coins_Given,DG_RT,UG_Offer_Accept,UG_Coins_Given,UG_Decision_RT,UG_RT,DG_UG_Diff,DG_UG_RT_Diff,tot_delay_perc,perc_hiconf_delay,perc_loconf_delay,hi_lo_conf_del_diff,AvgRT_3SD,AvgdelayRT_3SD,AvgimmRT_3SD,imm_del_RT_3SD_Diff,hi_lo_conf_RT_Diff,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Age_Frac,Group_Name,Train_Coef,Age_YM
1,0,2,3.132,0,3,NA,1.647285714,1,-1.484714286,11.11111111,11.11111111,11.11111111,0,741.8235294,790,738.8125,51.1875,780.1111111,-1.114,2.954,0.964869614,0.498,0.825,0.968444071,Trevor Roberts School,M,1,12.44444444,Experimental,-5.397101039,12.05
1,1,3,1.389666667,0,3,NA,1.350714286,0,-0.038952381,33.33333333,33.33333333,33.33333333,0,625.2222222,956.6666667,459.5,497.1666667,-83.77777778,-0.081142857,2.564,0.00872002,-0.518,0.21,0.970921986,Trevor Roberts School,M,1,12.71388889,Experimental,-5.397101039,12.08
1,2,0,2.127065,0,NA,0.43567,NA,NA,NA,50,55.55555556,44.44444444,-11.11111111,0.884651471,1.121175,0.674408333,0.446766667,0.376734444,-1.244419643,7.34375,0.855538296,0.302734375,2.421875,0.863328742,Trevor Roberts School,M,1,14.21944444,Experimental,-5.397101039,14.02
2,0,3,1.379166667,0,4,NA,0.801142857,1,-0.57802381,11.11111111,0,22.22222222,-33.33333333,1597.666667,2025.5,1544.1875,481.3125,-400,-1.148,3.901333333,0.938481989,0.8165,-1.59,0.988931722,Trevor Roberts School,M,2,9.825,Control,-2.657759774,9.09
2,1,2,1.130833333,0,3,NA,1.939714286,1,0.808880952,22.22222222,22.22222222,22.22222222,0,1673.388889,1919.75,1603,316.75,-478.7777778,0.218857143,2.844,0.165382144,-0.6615,2.94,0.940645161,Trevor Roberts School,M,2,10.05,Control,-2.657759774,10
2,2,3,6.282865,1,NA,4.267765,NA,NA,NA,100,100,100,0,0.790497222,0.790497222,NA,NA,0.489346667,-0.554653647,5.38621658,0.94200756,0.35826336,2.417351525,0.891322934,Trevor Roberts School,M,2,11.5,Control,-2.657759774,11.06
3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,2,12.46388889,Control,-7.271595887,12.05
3,1,3,1.8505,0,3,NA,2.194571429,0,0.344071429,66.66666667,66.66666667,66.66666667,0,1957.611111,2032.25,1808.333333,223.9166667,-455,-0.212571429,5.087333333,0.281799052,-0.469,4.2,0.902311558,Trevor Roberts School,M,2,12.68888889,Control,-7.271595887,12.08
3,2,3,3.054295,1,NA,0.960675,NA,NA,NA,100,100,100,0,1.177592778,1.177592778,NA,NA,-0.333496667,-0.263020833,5.072048611,0.83489292,1.577473958,-7.3046875,0.88208575,Trevor Roberts School,M,2,14.13888889,Control,-7.271595887,14.01
4,0,2,1.992666667,1,3,NA,0.828857143,1,-1.163809524,11.11111111,11.11111111,11.11111111,0,1098.058824,731,1121,-390,1184.777778,-1.266285714,3.388666667,0.923793053,0.1095,4.27,0.6,Trevor Roberts School,F,1,11.83888889,Experimental,-10.06874666,11.1
4,1,2,2.011666667,1,2,NA,2.779857143,0,0.768190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,12.05277778,Experimental,-10.06874666,12
4,2,2,4.43091,0,NA,0.35592,NA,NA,NA,100,100,100,0,1.764394167,1.764394167,NA,NA,-0.894550556,-0.655099206,4.928220486,0.93597893,1.387259115,-5.12593316,0.9040015,Trevor Roberts School,F,1,13.45,Experimental,-10.06874666,13.05
5,0,1,2.2625,0,3,NA,1.665142857,2,-0.597357143,55.55555556,66.66666667,44.44444444,-22.22222222,2701.277778,3134.2,2160.125,974.075,1361.222222,-0.938,6.141333333,0.940010969,1.1315,-3.235,0.870595465,Trevor Roberts School,M,2,7.611111111,Control,-12.12877727,7.07
5,1,2,2.836,1,3,NA,2.916285714,1,0.080285714,88.88888889,88.88888889,88.88888889,0,895.7058824,858.6666667,1173.5,-314.8333333,444.1111111,1.273428571,-1.892,0.770875508,-0.616,4.34,0.972864322,Trevor Roberts School,M,2,7.827777778,Control,-12.12877727,7.09
5,2,3,4.499775,1,NA,3.179655,NA,NA,NA,94.44444444,100,88.88888889,-11.11111111,2.181360278,2.222694412,1.47868,0.744014412,-0.117828333,-0.314619019,5.245863755,0.621014871,1.394537806,-7.021560669,0.935497723,Trevor Roberts School,M,2,9.172222222,Control,-12.12877727,9.02
6,0,2,3.701666667,0,3,NA,2.204571429,1,-1.497095238,27.77777778,33.33333333,22.22222222,-11.11111111,2033.235294,3360.25,1624.923077,1735.326923,684.4444444,-1.097714286,7.298666667,0.731232624,0.4465,1.53,0.884231944,Trevor Roberts School,F,2,7.894444444,Control,-11.14073729,7.1
6,1,2,1.584333333,0,3,NA,2.283857143,1,0.69952381,22.22222222,22.22222222,22.22222222,0,1343.388889,2509.25,1010.285714,1498.964286,151,1.224,-4.470666667,0.735043764,-0.224,-0.315,0.78467433,Trevor Roberts School,F,2,8.102777778,Control,-11.14073729,8.01
6,2,3,7.323925,0,NA,3.681445,NA,NA,NA,33.33333333,44.44444444,22.22222222,-22.22222222,1.653471667,2.657869167,1.151272917,1.50659625,0.444708889,-1.461882441,6.752395834,0.982297376,0.295420387,2.51391369,0.902108252,Trevor Roberts School,F,2,9.513888889,Control,-11.14073729,9.06
7,0,3,9.088,1,3,NA,4.196,0,-4.892,27.77777778,44.44444444,11.11111111,-33.33333333,3396.058824,3070,3496.384615,-426.3846154,1106.222222,-0.820285714,4.696,0.187585201,0,5,1,Trevor Roberts School,F,2,7.019444444,Control,-0.397881039,7
7,1,3,3.766666667,1,3,NA,3.562857143,0,-0.203809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,2,7.233333333,Control,-0.397881039,7.02
7,2,3,4.558335,1,NA,10.62612,NA,NA,NA,44.44444444,55.55555556,33.33333333,-22.22222222,4.599348611,4.501084375,4.67796,-0.176875625,2.907678333,-2.018706597,5.541538266,0.904690724,-0.052563477,5.009860569,0.075829907,Trevor Roberts School,F,2,8.605555556,Control,-0.397881039,8.07
8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,1,6.747222222,Experimental,-4.924068256,6.08
8,1,0,4.077166667,1,3,NA,3.895571429,3,-0.181595238,0,0,0,0,1341.058824,NA,1341.058824,NA,312.3333333,-2.285714286,9.666666667,0.685714286,0,-5,1,Trevor Roberts School,M,1,6.952777778,Experimental,-4.924068256,6.11
8,2,3,3.858315,0,NA,2.11182,NA,NA,NA,88.88888889,77.77777778,100,22.22222222,1.400727778,1.3953975,1.44337,-0.0479725,-0.227765556,-1.458534082,6.778853416,0.982386043,1.577033639,-7.864745855,0.982734931,Trevor Roberts School,M,1,8.516666667,Experimental,-4.924068256,8.06
9,0,2,2.412666667,1,3,NA,1.720571429,1,-0.692095238,100,100,100,0,1864.470588,1864.470588,NA,NA,318.2222222,-0.708,5.324666667,0.687667825,0.94,-3.055,0.941176471,Trevor Roberts School,M,1,9.816666667,Experimental,-3.743527966,9.09
9,1,2,1.935166667,1,3,NA,1.934,1,-0.001166667,100,100,100,0,1655.833333,1655.833333,NA,NA,-73.88888889,1.073714286,-0.884666667,0.836019093,-0.1785,4.13,0.770666667,Trevor Roberts School,M,1,10.02222222,Experimental,-3.743527966,10
9,2,2,5.67529,1,NA,1.33289,NA,NA,NA,100,100,100,0,1.810514722,1.810514722,NA,NA,0.437581667,-0.370900971,3.505643599,0.836152292,0.636304485,-0.924876011,0.765852425,Trevor Roberts School,M,1,11.58611111,Experimental,-3.743527966,11.07
10,0,2,2.093666667,1,3,NA,1.735571429,1,-0.358095238,66.66666667,88.88888889,44.44444444,-44.44444444,1783.055556,1988.833333,1371.5,617.3333333,-173.6666667,-0.49,5.296666667,0.966923511,1.389,-6.23,0.99772253,Trevor Roberts School,M,1,11.10555556,Experimental,-4.815838193,11.01
10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,1,NA,Experimental,-4.815838193,NA
10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,1,NA,Experimental,-4.815838193,NA
12,0,3,1.528333333,1,3,4.791,2.099,0,0.570666667,100,100,100,0,1063.058824,1063.058824,NA,NA,228.5555556,-0.184857143,5.195333333,0.991592412,0.813,-1.45,0.99704944,Trevor Roberts School,M,1,12.48,Experimental,10.63622881,13.03
12,1,1,1.5295,1,3,6.145,2.025428571,2,0.495928571,94.44444444,100,88.88888889,-11.11111111,702.2222222,714.6470588,491,223.6470588,20.88888889,1.207428571,-2.022666667,0.775882,-1.0185,6.16,0.939074023,Trevor Roberts School,M,1,12.69,Experimental,10.63622881,13.06
12,2,3,3.135045,1,NA,1.277175,NA,NA,NA,100,100,100,0,0.712692778,0.712692778,NA,NA,-0.018034444,0,4.953703704,1,1.432407407,-7.476851852,0.947816806,Trevor Roberts School,M,1,14.04,Experimental,10.63622881,14.01
13,0,2,2.941,0,3,6.573,2.756,1,-0.185,55.55555556,55.55555556,55.55555556,0,2315.888889,3194.6,1217.5,1977.1,1172.222222,-0.192857143,5.256666667,0.591675955,1.399,-5.16,0.897660681,Trevor Roberts School,M,2,10.19166667,Control,-5.47400772,10.02
13,1,0,3.057833333,1,1,7.056,2.522857143,1,-0.53497619,50,55.55555556,44.44444444,-11.11111111,1613.588235,1678.625,1555.777778,122.8472222,747.6666667,1.953714286,-4.874666667,0.834581258,-0.651,6.44,0.846696035,Trevor Roberts School,M,2,10.37777778,Control,-5.47400772,10.04
13,2,2,4.504175,0,NA,0.96733,NA,NA,NA,100,100,100,0,1.208582778,1.208582778,NA,NA,0.24302,-0.873809596,6.038272094,0.974645429,0.045833333,4.694444444,0.6,Trevor Roberts School,M,2,11.72222222,Control,-5.47400772,11.08
14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,7.988888889,Experimental,-4.855376307,7.11
14,1,3,4.112166667,1,3,10.561,3.590571429,0,-0.521595238,100,100,100,0,2115.294118,2115.294118,NA,NA,1357.666667,0.955142857,-0.624666667,0.511901058,0.1225,1.33,0.194598888,Trevor Roberts School,F,1,8.241666667,Experimental,-4.855376307,8.02
14,2,1,5.22279,0,NA,7.03973,NA,NA,NA,94.44444444,100,88.88888889,-11.11111111,3.289933056,3.364516471,2.022015,1.342501471,0.156938333,-0.239153399,5.281481481,0.912071556,1.510648155,-10,0.617029214,Trevor Roberts School,F,1,9.694444444,Experimental,-4.855376307,9.08
15,0,3,1.519833333,0,3,13.025,2.998285714,0,1.478452381,72.22222222,88.88888889,55.55555556,-33.33333333,2189.5,2325.230769,1836.6,488.6307692,-874.7777778,-0.736,5.446,0.984043017,1.1665,-3.515,0.907406021,Trevor Roberts School,M,1,10.6,Experimental,4.668904041,10.07
15,1,2,2.094333333,0,3,5.454,2.034428571,1,-0.059904762,100,100,100,0,1244.333333,1244.333333,NA,NA,-120.6666667,2.348,-7.228,0.872302921,-0.057,4.44,0.282398957,Trevor Roberts School,M,1,10.85277778,Experimental,4.668904041,10.01
