ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,ID,Session,Online,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z,I,S,M
1,0,0,M,1,12.44444444,7,17,3,15.78947368,Experimental,12.05,3.25,1,0,0,0,1,-5.397101039,-0.69626033,0.52402228,-0.7986784,0.035288543,-0.30361754,-0.81804502,0.95833331,0.85119045,12.44444444,-1.141671778,-0.499128912,-1.201487719,-6.609111384,-1.235219012,0.229047612,-0.790715809,-0.159266525,-0.223644502,0.073173159,0.15726019,-0.624912426,0.083588793,-0.164842954,0.212480154,0.378752905,0.962350946,0.294949226,1.779413924,0.108782023,0.082010337,0.041723841
2,0,0,M,2,9.825,8,29,9,29.03225806,Control,9.09,3.75,2,0,0,0,2,-2.657759774,0.2978349,-0.31709272,0.38258979,0.089717135,0.17556356,0.072720975,0.95833331,0.84523809,9.825,-0.321479452,0.221716,-1.587396782,-7.376299511,-0.657500619,1.046975943,-0.790715809,0.126097668,0.343438931,0.969544361,0.15726019,-0.677665303,0.335166227,0.438516713,-0.373807224,2.088259259,0.362024699,0.66567592,-0.42144014,0.239598331,0.032017883,0.0267685
3,0,0,M,2,12.46388889,7,23,14,58.33333333,Control,12.05,3.75,3,0,0,0,2,-7.271595887,0.23577769,-0.35649154,0.92779052,-0.039813787,0.080265611,0.18485659,0.88690472,0.79761904,12.46388889,-0.881837304,-0.847216224,-1.686681321,-6.713765917,-0.384138371,1.046975943,-0.284121613,0.432262262,-0.212481443,0.073173159,0.15726019,-1.041172523,0.922947424,0.080479109,-0.193297689,0.378752905,0.962350946,0.66567592,0.678986892,0.265707485,0.054090315,0.030767558
4,0,0,F,1,11.83888889,6,11,1,9.090909091,Experimental,11.1,2.75,4,0,0,1,1,-10.06874666,0.43176001,1.1524714,0.028908417,0.24271375,0.56363714,-0.013836659,0.95833331,0.88095242,11.83888889,-0.689473775,0.187707463,-3.228786551,-7.001299194,-1.030747267,-0.588880719,-0.790715809,-0.117047583,-1.074588597,0.073173159,0.15726019,-0.861192119,0.199020523,-0.900809141,1.048819705,0.378752905,-0.638519046,-0.35382249,-0.42144014,0.233593426,0.054839502,0.032134261
5,0,0,M,2,7.611111111,8,21,0,0,Control,7.07,3.75,5,0,0,0,2,-12.12877727,-0.43376431,-1.0933236,-0.74835229,0.52575868,-0.14000142,-0.20542419,0.60714287,-0.023809522,7.611111111,-0.816470397,-0.50991092,-2.682390454,-7.901480191,-0.66981929,1.046975943,0.560202048,0.989329759,0.667167663,-0.823198043,1.032675248,-0.35183871,0.930029125,1.035246054,-0.773162394,0.378752905,-0.138247173,0.66567592,-1.521867172,-0.612472858,-0.096992153,-0.077182589
6,0,0,F,2,7.894444444,8,24,15,62.5,Control,7.1,3.25,6,0,0,0,2,-11.14073729,-0.58765268,0.92178661,1.6728982,0.50067818,0.24425755,0.81360644,0.88690472,0.53571427,7.894444444,-1.308783169,-0.790533127,-2.018895042,-7.617383544,-1.243107816,0.229047612,-0.284121613,1.261249414,-0.415649129,0.073173159,0.15726019,-0.599644242,1.237374955,-0.262403465,0.38363237,0.378752905,1.662731567,1.499810983,0.678986892,0.242592956,-0.065956906,-0.001375914
7,0,0,F,2,7.019444444,8,20,4,20,Control,7,1.75,7,0,0,1,2,-0.397881039,0.70947462,0.36943519,-0.14443757,-0.62271506,0.5371905,0.42941868,0.81547618,0.55952382,7.019444444,-2.206954862,-1.434131691,-2.433701071,-8.130370869,-3.406248354,-2.224737381,-0.284121613,0.596687422,-1.237569269,0.969544361,-0.718154868,-0.169198497,0.546200922,-1.108243626,1.226041149,0.378752905,-0.338355922,-1.744047595,-1.521867172,-0.044950496,-0.02364445,-0.015008092
8,0,0,M,1,6.747222222,8,21,7,33.33333333,Experimental,6.08,3.25,8,0,0,0,1,-4.924068256,-0.61493778,-1.1870584,-1.489266,0.096771032,0.27394959,1.0833558,0.88690472,0.5,6.747222222,-1.141671778,-0.621113978,-1.283984742,-7.505675609,-3.928365846,0.229047612,1.066796243,1.227746242,0.122729293,0.073173159,1.908090305,-0.684660769,0.538056966,0.222557523,-0.603224024,2.088259259,0.462079073,-0.168459143,-1.521867172,-0.403470924,-0.015219559,-0.024949036
9,0,0,M,1,9.816666667,8,15,7,46.66666667,Experimental,9.09,3.25,9,0,0,1,1,-3.743527966,-0.71168715,-0.42478144,-1.3802259,0.80570507,0.6614064,-0.60920572,0.95833331,0.88095242,9.816666667,-0.880732637,-0.542656462,-2.054251931,-7.530732425,-0.730183815,0.229047612,1.911119904,0.873583101,0.731913409,0.073173159,0.15726019,0.005018987,0.713152027,0.672472502,-0.729463956,0.378752905,0.061861576,1.685174331,0.678986892,0.040819975,0.075281925,0.034564637
10,0,0,M,1,11.10555556,4,8,4,50,Experimental,11.01,3.75,10,0,0,1,1,-4.815838193,0.29389977,0.22703417,0.073642731,0.85172439,0.34930506,0.64225525,0.85119045,0.32142857,11.10555556,-0.738916915,-0.551336713,-3.228786551,-7.486083776,-0.517368143,1.046975943,0.897931512,1.005988624,1.458150179,0.073173159,0.15726019,0.343258022,0.705716241,1.52304861,-1.50025585,0.378752905,0.462079073,0.66567592,-0.42144014,-0.090842261,-0.071148157,-0.028686071
