ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z
1,0,0,M,1,12.44444444,7,17,3,15.78947368,Experimental,12.05,3.25,0,1,-5.397101039,-0.69626033,0.52402228,-0.7986784,0.035288543,-0.30361754,-0.81804502,0.95833331,0.85119045,12.44444444,-1.141671778,-0.499128912,-1.797410141,-6.609111384,-1.235219012,0.229047612,-1.057754559,-0.614296406,-0.316168911,0.039609495,0.170526464,-0.502720847,-0.213673908,0.11842513,0.21717603,0.360386969,0.688338753,0.198366918,1.277525616
1,1,0,M,1,12.71388889,7,17,3,15.78947368,Experimental,12.08,3.25,0,1,-5.397101039,-0.44495177,0.12808843,-0.14804985,0.18472126,0.32162109,0.35897309,0.92261904,0.39285713,12.71388889,-0.32906391,-0.300633553,-2.051912958,-6.438107142,-0.314019036,0.229047612,-0.41900729,0.032263035,0.491365947,0.886908255,-0.6787622,0.739329781,-0.323902862,-1.570837806,0.067761411,0.360386969,1.192183121,-1.872428128,-0.770139556
1,2,1,M,1,14.21944444,7,17,3,15.78947368,Experimental,14.02,3.25,0,1,-5.397101039,0.41962975,0.51108128,2.0676486,0.97785902,-0.22138715,-0.93650651,0.80952382,0.92261904,14.21944444,-0.754743095,-0.425547808,0.830870203,0.12256153,-0.83948927,0.229047612,0.060053162,0.978807039,-0.684194837,-1.654988026,1.869103792,-0.659555508,1.027037765,-0.206235287,0.605137769,0.360386969,-0.520887729,-2.437190414,1.277525616
2,0,0,M,2,9.825,8,29,9,29.03225806,Control,9.09,3.75,0,2,-2.657759774,0.2978349,-0.31709272,0.38258979,0.089717135,0.17556356,0.072720975,0.95833331,0.84523809,9.825,-0.321479452,0.221716,-1.077511219,-7.376299511,-0.657500619,1.046975943,-1.057754559,-0.275013467,0.226255335,0.886908255,0.170526464,-0.543607161,0.054078817,0.647982458,-0.369549668,1.861014678,0.083725512,0.574875109,-0.770139556
2,1,0,M,2,10.05,8,29,9,29.03225806,Control,10,3.75,0,2,-2.657759774,0.89959246,-1.3011233,-0.6758827,-0.18367064,0.26160699,-0.39019012,0.88095242,0.6785714,10.05,-0.122954824,-0.662540687,-0.758689104,-7.422606124,0.226197194,1.046975943,-0.738380924,0.371803201,-0.253933508,0.039609495,0.170526464,1.100091374,-0.244764126,-1.809429569,0.731016549,0.360386969,0.083725512,-0.084014224,-0.770139556
2,2,1,M,2,11.5,8,29,9,29.03225806,Control,11.06,3.75,1,2,-2.657759774,0.073829189,0.61441028,1.9594947,-0.49393806,-0.48081911,-0.40465653,0.60714287,0.77976191,11.5,-1.837826087,0.221716,-1.451090271,0.235093137,-3.119899921,1.046975943,1.497234517,0.755790333,-0.716695902,0.886908255,0.170526464,0.169914757,0.47376376,-0.113909444,0.604038788,1.861014678,0.083725512,-1.590046986,1.277525616
3,0,0,M,2,12.46388889,7,23,14,58.33333333,Control,12.05,3.75,0,2,-7.271595887,0.23577769,-0.35649154,0.92779052,-0.039813787,0.080265611,0.45264131,0.88690472,0.79761904,12.46388889,-0.880732637,-0.505784366,0.40138096,-7.293977603,-0.601581131,1.046975943,-0.578694107,0.547563008,-1.286003936,0.886908255,-0.6787622,-0.079750149,0.438832754,-0.470808123,1.154965345,0.360386969,0.688338753,0.857256252,0.25369303
3,1,0,M,2,12.68888889,7,23,14,58.33333333,Control,12.08,3.75,0,2,-7.271595887,0.23795211,0.40183941,0.36275613,0.024037711,0.093167126,-1.0586104,0.95833331,0.91666669,12.68888889,-0.615455873,-0.785986779,-0.82686918,-7.579480188,-0.069966731,1.046975943,0.539113614,0.90444765,-0.755782711,0.886908255,-0.6787622,0.581281844,0.389287894,-1.489367448,1.037134304,0.360386969,1.595258615,0.292493966,0.25369303
3,2,1,M,2,14.13888889,7,23,14,58.33333333,Control,14.01,3.75,1,2,-7.271595887,0.48281872,-0.11626664,0.51841623,0.48070785,-0.32322037,-0.56533378,0.58333331,0.91666669,14.13888889,-1.116548797,-0.245072768,0.040119117,-0.163472336,-1.426780424,1.046975943,1.497234517,0.859619269,1.505357474,0.886908255,-0.6787622,0.520614486,0.384967845,1.9132237,-1.757936424,0.360386969,-0.520887729,-0.931157653,1.277525616
4,0,0,F,1,11.83888889,6,11,1,9.090909091,Experimental,11.1,2.75,1,1,-10.06874666,0.43176001,1.1524714,0.028908417,0.24271375,0.56363714,-0.013836659,0.95833331,0.88095242,11.83888889,-0.689473775,0.187707463,-0.554551558,-7.001299194,-1.030747267,-0.588880719,-1.057754559,-0.564100316,-1.130110354,0.039609495,0.170526464,-0.685850303,-0.090820441,-0.527518424,1.054140846,0.360386969,-0.923963223,-0.460522415,-0.770139556
