P_ID,T,Flank_Switch_RT,Flank_Stay_RT,Flank_Switch_RT_corr,Flank_Stay_RT_corr,Flank_Accuracy_Stay,Flank_Accuracy_Switch
1,0,817,635.15,831.2,658,0.714285714,0.666666667
2,0,675.25,591.15,731.4,622.95,0.857142857,0.75
3,0,649.6,523.9,682,535.65,0.857142857,0.75
4,0,666.9,694.3,707.1,731.3,0.964285714,0.75
5,0,1354.35,1182.2,1425.85,1259.45,0.714285714,0.833333333
6,0,606.65,603.7,594.1,576.6,0.571428571,0.5
7,0,1660.05,1558.5,1732.35,1581.45,0.642857143,0.333333333
9,0,699.4,708.1,731.4,705.5,0.785714286,0.833333333
10,0,1041.8,993.9,1063.1,1040.9,0.857142857,0.916666667
11,0,677.2,746.5,758.1,749.8,0.821428571,0.5
12,0,724,625.5,798,652.25,0.857142857,0.833333333
13,0,625.2,607.25,664.7,624.9,0.928571429,0.75
14,0,600.35,592.8,731.4,629.7,0.75,0.416666667
15,0,607.9,678.8,732.75,741.05,0.857142857,0.333333333
16,0,719.2,797.5,731.4,798,0.821428571,0.75
17,0,522.5,490.35,616.1,513.15,0.928571429,0.583333333
18,0,722.4,625.45,800.7,640.85,0.571428571,0.666666667
19,0,957.7,870.05,963.5,870,0.892857143,0.75
20,0,943.95,1015.6,1098.1,1102.7,0.678571429,0.416666667
21,0,770.05,715.6,781.2,731.4,0.5,0.583333333
22,0,762.5,652.3,764.7,683.95,0.928571429,0.75
23,0,794.6,663.9,853.3,686.65,0.928571429,0.666666667
24,0,701.7,665.9,773,707.6,0.892857143,0.583333333
25,0,687.4,716.3,700.1,746.95,0.785714286,0.583333333
26,0,649.05,668.15,664.5,667.5,0.857142857,0.5
27,0,468,508.5,617.7,546.5,0.75,0.583333333
28,0,980.95,732.65,1124.5,748.45,0.714285714,0.583333333
29,0,1237.8,1010.8,1260.7,1057.9,0.892857143,0.833333333
30,0,698,699,764.8,731.4,0.928571429,0.75
31,0,644,615,670.7,639,0.892857143,0.75
32,0,1420.1,1373.2,1468.1,1333.5,0.928571429,0.833333333
33,0,767.1,751.8,781.4,781.4,0.464285714,0.583333333
34,0,829.1,925.6,1003.3,948.4,0.75,0.583333333
35,0,1274.8,937.3,1320.1,1001.8,0.785714286,0.833333333
36,0,856,798.3,870.1,848,0.964285714,0.75
37,0,1313.6,1426.15,1332.2,1473.85,0.928571429,0.833333333
38,0,642.9,640.1,824.7,658.1,0.785714286,0.666666667
39,0,614.85,561,831.3,589.2,0.75,0.416666667
40,0,943.6,1028,1099.75,1064.55,1,0.666666667
41,0,2280.1,1785.3,2166,1766.05,0.928571429,0.916666667
42,0,803.1,704.5,924.8,731.4,0.928571429,0.5
43,0,845.05,691.1,863.25,716.3,0.678571429,0.5
44,0,736.5,511.05,814.6,564.85,0.642857143,0.5
45,0,1734.05,1572.4,1957.45,1595.5,0.964285714,0.666666667
46,0,659.8,619.6,731.3,626.25,0.714285714,0.583333333
47,0,1230.5,1306.9,1245.4,1337.5,0.892857143,0.916666667
48,0,788.6,727.9,781.35,764.7,0.964285714,0.333333333
49,0,1172.25,1280.45,1369.7,1284.45,0.857142857,0.416666667
50,0,793.3,707.3,809.55,692.2,0.785714286,0.5
51,0,731.5,608.6,748,556.15,0.857142857,0.666666667
53,0,1045.3,790.5,999.05,843.3,0.928571429,0.916666667
54,0,464.4,436.3,557.9,474.65,0.785714286,0.666666667
56,0,666,604.7,731.4,630.5,0.857142857,0.583333333
57,0,529.5,613.35,654.5,639.6,0.75,0.416666667
58,0,578,662.2,600.8,647,0.571428571,0.416666667
59,0,919.7,748.75,946.5,772.95,0.642857143,0.583333333
60,0,1069.1,957.55,1092,1029.7,0.714285714,0.666666667
61,0,424.3,531.65,575.9,554.45,0.714285714,0.416666667
62,0,854.85,735.8,1003.1,752.75,0.928571429,0.583333333
65,0,479.35,513.4,532.85,520.1,0.821428571,0.5
66,0,474.05,531.1,526,557.75,0.714285714,0.583333333
67,0,586,549.6,593.4,532.9,0.821428571,0.75
68,0,401.7,483.5,456.95,438.1,0.571428571,0.5
69,0,614.4,359.55,520.8,428.9,0.464285714,0.333333333
70,0,1102.75,1081.8,1042.9,1067.3,0.642857143,0.666666667
71,0,668.25,599.8,672.2,593.9,0.428571429,0.5
72,0,1542.5,1205,1565.5,1220.85,0.928571429,1
73,0,535.5,495.8,620.6,518.6,0.75,0.416666667
74,0,660.5,718.7,731.9,765.3,0.678571429,0.833333333
75,0,840.2,708,856.05,731.8,0.821428571,0.666666667
76,0,945.3,983.95,952,997.4,0.964285714,0.833333333
77,0,701.5,725.6,1543.3,781.9,0.642857143,0.25
78,0,470.5,596.95,579.7,608.5,0.821428571,0.25
79,0,616.7,537,715.2,540.5,0.928571429,0.583333333
81,0,856.7,764.5,883,816.4,0.714285714,0.75
82,0,665.1,639.2,432.5,731.4,0.321428571,0.416666667
83,0,808.2,860.2,814.9,866.8,0.607142857,0.583333333
84,0,1127.2,816.75,1150.35,839.6,0.928571429,0.5
85,0,600.5,628.3,799.6,647.8,0.964285714,0.5
86,0,646.2,611.2,910.35,654.3,0.821428571,0.333333333
87,0,480.9,500.7,501.6,514.45,0.928571429,0.666666667
88,0,1103.7,1073.8,1122.45,1096.65,1,1
89,0,794.8,797.8,978.4,870.1,0.892857143,0.5
90,0,832.45,649.8,875.4,661.6,0.892857143,0.916666667
91,0,1017.55,956.05,1029.7,1129.2,0.821428571,0.75
92,0,1074.1,1021.85,983.55,919.5,0.607142857,0.333333333
93,0,775.5,616.45,871.5,623.05,0.928571429,0.666666667
94,0,811.4,706.35,1096.1,864.6,0.75,0.583333333
95,0,1513.2,689.7,1234.4,748.55,0.571428571,0.666666667
96,0,682.75,663.9,713,706.7,0.75,0.666666667
97,0,692,638.1,773.5,637.7,0.857142857,0.5
98,0,673.5,780.6,928.25,831.8,0.75,0.5
99,0,519.6,526.4,555.8,550.3,0.964285714,0.916666667
100,0,1700.85,1681.95,1707.5,1676.9,0.714285714,0.75
101,0,1035.4,824.95,1075.3,959.05,0.857142857,0.75
103,0,837,749,853.9,748.6,0.75,0.75
104,0,681.2,703.2,732.7,749.4,0.964285714,0.833333333
105,0,790.95,684.35,867.65,731.9,0.821428571,0.833333333
106,0,684.3,569.85,691,600.2,0.892857143,0.833333333
107,0,432.5,483.5,480.85,499.3,0.571428571,0.333333333
108,0,568.6,575.65,598.75,610.9,0.607142857,0.833333333
109,0,692.9,669.1,703.4,662.4,0.892857143,0.75
110,0,789.5,662.2,797.9,685.1,0.892857143,0.583333333
111,0,537.4,522.6,541.2,532.9,0.714285714,0.5
112,0,1074.8,873,1137.3,949.85,0.785714286,0.583333333
113,0,445.6,531.8,512.3,540.7,1,0.666666667
114,0,588.85,661.85,547,677.9,0.821428571,0.25
115,0,923.5,845.1,953.8,903.4,0.607142857,0.583333333
117,0,423.7,555.1,499.5,532.4,0.607142857,0.5
118,0,464.9,585.6,481.6,698.55,0.357142857,0.5
119,0,711.75,746,799.5,756.25,0.714285714,0.5
