p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
1,0,12.444445,1,652.28571,7,17,-5.3971009,291,-.17400989,5.9803038,176.28107,.95833331,.85119045,4132.9092,4696.8999,108.10004,173.20001,75.400024
1,1,12.444445,1,671.87274,,17,-5.3971009,238,-.43635252,-2.2618816,171.40527,.92261904,.39285713,5147.5713,5148,61.236816,-28.149963,-25.150024
1,2,12.444445,1,783.91431,7,17,-5.3971009,96.470589,-1.0604107,.86177766,126.85553,,,,,,,
2,0,9.8249998,2,549.13232,5,29,-2.6577597,226,-.15717593,.91345626,253.77271,.95833331,.84523809,4068.5,5148,141.57263,108.45001,7.4000244
2,1,9.8249998,2,450.79166,,29,-2.6577597,269,.53296405,9.3396416,208.85455,,.6785714,,5045.8569,136.80786,1.0999756,41.050018
2,2,9.8249998,2,727.81635,7,29,-2.6577597,103,.79106277,8.9127808,38.337524,,,,,,,
3,0,12.463889,2,587.29034,,23,-7.271596,196,.22043946,-10.331461,60.394714,.88690472,.79761904,4403.9165,4120.7002,-23.125,146.34998,31.399994
3,1,12.463889,2,593.33331,,23,-7.271596,208,.11077176,-2.7195182,215.83337,.95833331,.91666669,4191.3335,3652.6001,-73.112122,-3.1499634,19.099976
3,2,12.463889,2,664.5686,7,23,-7.271596,190,.2473972,2.0369534,-48.524414,,,,,,,
4,0,11.838889,1,499.23438,5,11,-10.068747,245.46153,.67528582,14.997509,93.596497,.95833331,.88095242,3663.3333,3835.7273,166.22809,-24.200012,67.699951
4,1,11.838889,1,572.81818,6,11,-10.068747,278,.010053726,3.3647041,170.20258,.72619045,.88095242,3615.3999,4629.625,-80.52002,-46.299988,-4.75
4,2,11.838889,1,726.58698,6,11,-10.068747,205.22223,.020999955,3.558558,35.352905,,,,,,,
5,0,7.6111112,2,,,21,-12.128778,,-.35255498,.6257019,123.82861,.60714287,-.023809522,5147.2856,3652,256.71069,166.40002,139.54999
5,1,7.6111112,2,529.82257,4,21,-12.128778,,,,75.84613,.58333331,.083333336,4996,5029,191.71814,11.599976,135.25
5,2,7.6111112,2,675.83673,,21,-12.128778,255.88889,,1.3731619,135.44666,,,,,,,
6,0,7.8944445,2,732.14813,6,24,-11.140738,155,-.35455787,5.82128,709.54443,.88690472,.53571427,4481.3335,5147.2002,229.99243,17.5,-9.8999634
6,1,7.8944445,2,377.46429,5,24,-11.140738,325,-1.618979,11.1096,516.33154,.81547618,.23809525,4108.5835,3906.375,91.598511,42.349976,27.350006
6,2,7.8944445,2,774.86365,7,24,-11.140738,240.76471,-.83733618,1.7587994,216.5614,,,,,,,
7,0,7.0194445,2,,4,20,-.39788103,,-.96882683,-.09999676,,.81547618,.55952382,5147.4546,5147.75,182.44824,150.90002,-25.449951
7,1,7.0194445,2,653.1228,4,20,-.39788103,320,-.63957107,-.18013175,310.19995,.85119045,.44047618,5147,5147,495.08154,48.549988,127.10004
7,2,7.0194445,2,642.77271,5,20,-.39788103,197.78947,-1.1273276,-.59297985,179.04749,,,,,,,
8,0,6.7472224,1,637.26416,4,21,-4.9240685,329,-.64484829,.87715214,,.88690472,.5,5148,5147.6001,249.776,,
