p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
1,12.444445,t0,Exp,-5.3971009,17,652.28571,291,-0.69626033,0.52402228,7
1,12.444445,t1,Exp,-5.3971009,17,671.87274,238,-0.44495177,0.12808843,7
1,12.444445,t2,Exp,-5.3971009,17,783.91431,96.470589,0.41962975,0.51108128,7
2,9.8249998,t0,Con,-2.6577597,29,549.13232,226,0.2978349,-0.31709272,5
2,9.8249998,t1,Con,-2.6577597,29,450.79166,269,0.89959246,-1.3011233,6
2,9.8249998,t2,Con,-2.6577597,29,727.81635000000006,103,0.073829189,0.61441028,7
3,12.463889,t0,Con,-7.271596,23,587.29034,196,0.23577769,-0.35649154,6
3,12.463889,t1,Con,-7.271596,23,593.33331,208,0.23795211,0.40183941,6
3,12.463889,t2,Con,-7.271596,23,664.5686,190,0.48281872,-0.11626664,7
4,11.838889,t0,Exp,-10.068747,11,499.23438,245.46153,0.43176001,1.1524714,5
4,11.838889,t1,Exp,-10.068747,11,572.81818,278,0.021285813,0.054429129,6
4,11.838889,t2,Exp,-10.068747,11,726.58698,205.22223,0.046680517,-0.31116191,6
5,7.6111112,t0,Con,-12.128778,21,595.85077,235,-0.43376431,-1.0933236,4
5,7.6111112,t1,Con,-12.128778,21,529.82257,269,0.04088036,-0.2653816,4
5,7.6111112,t2,Con,-12.128778,21,675.83673,255.88889,0.035599425,0.059367787,7
6,7.8944445,t0,Con,-11.140738,24,732.14813,155,-0.58765268,0.92178661,6
6,7.8944445,t1,Con,-11.140738,24,377.46429,325,-0.84807199,0.77514076,5
6,7.8944445,t2,Con,-11.140738,24,774.86365,240.76471,0.037554808,0.35964051,7
7,7.0194445,t0,Con,-0.39788103,20,539.57446,226,0.70947462,0.36943519,4
7,7.0194445,t1,Con,-0.39788103,20,653.1228,320,-0.3914558,-0.39697766,4
7,7.0194445,t2,Con,-0.39788103,20,642.77271,197.78947,-0.77335727,-0.40495655,5
8,6.7472224,t0,Exp,-4.9240685,21,637.26416,329,-0.61493778,0.054429129,4
8,6.7472224,t1,Exp,-4.9240685,21,696.11108,283,-0.23740724,-0.43639031,5
8,6.7472224,t2,Exp,-4.9240685,21,625.34613,218.22223,-0.42092362,-0.66671276,6
9,9.8166666,t0,Exp,-3.7435279,15,577.83331,323,-0.71168715,-0.42478144,6
9,9.8166666,t1,Exp,-3.7435279,15,772.45905,242,-0.5889169,0.2606473,6
9,9.8166666,t2,Exp,-3.7435279,15,692.29169,275.11111,-1.0604396,-0.67380941,6
10,11.105556,t0,Exp,-4.8158383,8,622.90002,243,0.29389977,0.22703417,5
10,11.105556,t1,Exp,-4.8158383,8,705.44263,246.11765,0.24633943,0.99680084,6
10,11.105556,t2,Exp,-4.8158383,8,808.71429,155.78947,0.92985928,0.30232298,6
11,8.3194447,t0,Con,-11.700085,10,605.16278,334,0.59589118,0.20445448,5
11,8.3194447,t1,Con,-11.700085,10,620.93219,268,0.069098711,-0.31314379,5
11,8.3194447,t2,Con,-11.700085,10,541,295.53845,-0.28507721,-0.82041299,6
12,13.316667,t0,Exp,10.636229,10,485.61429,175,0.32210073,0.3623994,6
12,13.316667,t1,Exp,10.636229,10,656.17645,209,-0.40285641,1.1022116,7
12,13.316667,t2,Exp,10.636229,10,645.35999,298.11765,-0.35200346,-0.91454816,7
13,10.191667,t0,Con,-5.4740076,21,591.0141,199,-1.0140537,-0.51090282,6
13,10.191667,t1,Con,-5.4740076,21,386.40985,237.38461,-0.38558805,-0.51090282,5
13,10.191667,t2,Con,-5.4740076,21,758.71741,200.57895,0.073663987,0.23219173,6
14,7.9888887,t0,Exp,-4.8553762,21,520.69116,321,-0.028030243,-0.011605799,6
14,7.9888887,t1,Exp,-4.8553762,21,830.49152,205,-0.38957307,0.72897375,6
14,7.9888887,t2,Exp,-4.8553762,21,783.15002,256,0.028098347,-0.45113903,6
15,10.6,t0,Exp,4.6689038,25,696.11108,246.15384,-0.59790361,-0.13339992,6
15,10.6,t1,Exp,4.6689038,25,598.73608,175,-0.80452991,0.60608149,6
15,10.6,t2,Exp,4.6689038,25,767.3913,187,0.04826232,-0.80444503,6
16,7.1972222,t0,Exp,-1.2739058,12,675.3623,198,0.86375034,-0.33051187,5
16,7.1972222,t1,Exp,-1.2739058,12,483.55884,205.29411,-0.4183251,-0.15271182,5
16,7.1972222,t2,Exp,-1.2739058,12,754.84442,234.66667,-0.73851383,1.0881059,7
