P_ID,T,AX_Num_Trials,BX_Num_Trials,AY_Num_Trials,BY_Num_Trials,AX_Avg_RT,BX_Avg_RT,AY_Avg_RT,BY_Avg_RT,AX_Correct_Avg_RT,AX_Incorrect_Avg_RT,BX_Correct_Avg_RT,BX_Incorrect_Avg_RT,AY_Correct_Avg_RT,AY_Incorrect_Avg_RT,BY_Correct_Avg_RT,BY_Incorrect_Avg_RT,AX_Error,BX_Error,AY_Error,BY_Error
1,0,24,12,12,12,491.8869565,342.6818182,560.0833333,308.7583333,502.75,252.9,328.78,570.1,560.0833333,nan,308.7583333,nan,0.041666667,0.166666667,0,0
2,0,24,12,12,12,448.6590909,546.5545455,517.8727273,678.5666667,448.6590909,nan,546.5545455,nan,517.8727273,210.7,678.5666667,nan,0,0,0.083333333,0
3,0,24,12,12,12,440.4909091,324.9090909,465.8363636,371.85,441.6095238,417,324.9090909,nan,462.01,504.1,371.85,nan,0.041666667,0,0.083333333,0
4,0,24,9,12,11,394.55,164.5818182,453.4416667,311.5090909,388.415,425.225,241.125,393.1,526.3111111,234.8333333,340.99,nan,0.166666667,0.111111111,0.25,0
5,0,24,12,12,12,623.6409091,956.4416667,1009.1,945.2,623.6409091,2088,902.0181818,1555.1,1009.1,nan,945.2,nan,0.041666667,0.083333333,0,0
6,0,24,12,12,12,570.2318182,463.5181818,599.825,417.03,565.4619048,670.4,449.1,501.9666667,577.5090909,845.3,417.03,nan,0.041666667,0.25,0.083333333,0
7,0,24,11,11,12,1378.465217,2783.683333,2013.818182,1483.05,1378.465217,nan,2050.766667,2899.2,1991.72,2032.233333,1483.05,nan,0,0.090909091,0.545454545,0
8,0,23,12,12,12,938.326087,818.725,824.6454545,597.5727273,867.8333333,800.25,780.0666667,934.7,826.93,801.8,632.31,1747.4,0.173913043,0.25,0.083333333,0.083333333
9,0,24,12,12,12,437.4565217,497.1333333,570.9,453.0818182,437.8136364,429.6,416.7777778,709.15,570.9,nan,453.0818182,nan,0.041666667,0.166666667,0,0
10,0,24,12,12,12,896.7363636,1017.136364,1081.358333,705.1090909,896.7363636,nan,1017.136364,nan,1065.290909,1258.1,705.1090909,nan,0,0,0.083333333,0
11,0,24,12,12,12,830.9090909,842.8727273,763.3636364,1028.927273,672.6076923,1059.566667,858.26,689,822.0428571,660.675,1043.96,878.6,0.375,0.083333333,0.333333333,0.083333333
12,0,24,12,12,12,356.0608696,211.525,454.4083333,227.5272727,356.0608696,nan,211.525,nan,466.4727273,321.7,225.92,243.6,0,0,0.083333333,0.083333333
