p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
1,t0,12.444445,Exp,652.28571,7,17,-5.3971009,291,-0.17400989,5.9803038,176.28107,0.95833331,0.85119045,4132.9092,4696.8999,108.10004,173.20001,75.400024
1,t1,12.444445,Exp,671.87274,7,17,-5.3971009,238,-0.43635252,-2.2618816,171.40527,0.92261904,0.39285713,5147.5713,5148,61.236816,-28.149963,-25.150024
2,t0,9.8249998,Con,549.13232,5,29,-2.6577597,226,-0.15717593,0.91345626,253.77271,0.95833331,0.84523809,4068.5,5148,141.57263,108.45001,7.4000244
2,t1,9.8249998,Con,450.79166,5,29,-2.6577597,269,0.53296405,9.3396416,208.85455,0.95833331,0.6785714,4319.3335,5045.8569,136.80786,1.0999756,41.050018
3,t0,12.463889,Con,587.29034,6,23,-7.271596,196,0.22043946,-10.331461,60.394714,0.88690472,0.79761904,4403.9165,4120.7002,-23.125,146.34998,31.399994
3,t1,12.463889,Con,593.33331,6,23,-7.271596,208,0.11077176,-2.7195182,215.83337,0.95833331,0.91666669,4191.3335,3652.6001,-73.112122,-3.1499634,19.099976
4,t0,11.838889,Exp,499.23438,5,11,-10.068747,245.46153,0.67528582,14.997509,93.596497,0.95833331,0.88095242,3663.3333,3835.7273,166.22809,-24.200012,67.699951
4,t1,11.838889,Exp,572.81818,6,11,-10.068747,278,0.010053726,3.3647041,170.20258,0.72619045,0.88095242,3615.3999,4629.625,-80.52002,-46.299988,-4.75
5,t0,7.6111112,Con,549.13232,4,21,-12.128778,321,-0.35255498,0.6257019,123.82861,0.60714287,-0.023809522,5147.2856,3652,256.71069,166.40002,139.54999
5,t1,7.6111112,Con,529.82257,4,21,-12.128778,181,1.1909432,-0.99879521,75.84613,0.58333331,0.083333336,4996,5029,191.71814,11.599976,135.25
6,t0,7.8944445,Con,732.14813,6,24,-11.140738,155,-0.35455787,5.82128,709.54443,0.88690472,0.53571427,4481.3335,5147.2002,229.99243,17.5,-9.8999634
6,t1,7.8944445,Con,377.46429,5,24,-11.140738,325,-1.618979,11.1096,516.33154,0.81547618,0.23809525,4108.5835,3906.375,91.598511,42.349976,27.350006
7,t0,7.0194445,Con,666.90698,4,20,-0.39788103,203,-0.96882683,-0.09999676,375.61475,0.81547618,0.55952382,5147.4546,5147.75,182.44824,150.90002,-25.449951
7,t1,7.0194445,Con,653.1228,4,20,-0.39788103,320,-0.63957107,-0.18013175,310.19995,0.85119045,0.44047618,5147,5147,495.08154,48.549988,127.10004
8,t0,6.7472224,Exp,637.26416,4,21,-4.9240685,329,-0.64484829,0.87715214,493.2879,0.88690472,0.5,5148,5147.6001,249.776,37.800049,63.549988
8,t1,6.7472224,Exp,696.11108,5,21,-4.9240685,283,-0.3156805,-1.6905843,187.6889,0.77380955,0.29761904,5148,5148,542.4176,-235.09998,2.75
9,t0,9.8166666,Exp,577.83331,6,15,-3.7435279,323,-0.49379644,3.1849248,65.372559,0.95833331,0.88095242,4990.75,4725,250.06616,25.900024,-9.6000366
9,t1,9.8166666,Exp,772.45905,6,15,-3.7435279,242,-0.54553539,0.40902147,381.63336,0.92261904,0.73809528,5110,4497,288.42603,151.79999,166.84998
10,t0,11.105556,Exp,622.90002,5,8,-4.8158383,243,0.049663715,0.20040101,413.02344,0.85119045,0.32142857,5004.3999,5000.8335,325.38403,22.199951,69
10,t1,11.105556,Exp,576.17908,5,8,-4.8158383,367,0.23543456,2.0793893,157.2782,0.84523809,0.63095242,4375.6665,4754.3335,147.55676,-12.150024,-74.799988
11,t0,8.3194447,Con,605.16278,5,10,-11.700085,334,0.10613659,1.9973677,276.05554,0.77380955,0.23809522,4988.375,3938.8,51.258057,8.2999878,-74.799988
11,t1,8.3194447,Con,602.5517,5,10,-11.700085,261,0.79656529,3.8735785,288.26318,0.88095242,0.38095236,5003.4287,4987,258.17651,-22.049988,227
12,t0,13.316667,Exp,485.61429,6,10,10.636229,175,0.44743305,5.310483,124.85712,0.95833331,0.79761904,5147.8335,4165.2998,277.01703,145.75,-130.34998
12,t1,13.316667,Exp,656.17645,7,10,10.636229,209,-0.048249707,-3.2019506,208.55261,0.95833331,0.92261904,4756.4165,4701.8999,171.9447,41.600037,16.649963
13,t0,10.191667,Con,591.0141,6,21,-5.4740076,199,-1.4719124,-2.754812,352.46674,0.95833331,0.35714287,4210.0835,5147.2002,186.81543,39.799988,24
13,t1,10.191667,Con,386.40985,5,21,-5.4740076,237.38461,-0.35337746,1.363876,-124.25,0.88690472,0.17857143,4319.3335,4459.3335,221.6925,163.60001,19.099976
14,t0,7.9888887,Exp,520.69116,6,21,-4.8553762,321,0.51613998,8.0057993,438.38062,0.81547618,0.33333334,5147,4611.75,120.229,101.70001,8.1499634
14,t1,7.9888887,Exp,830.49152,6,21,-4.8553762,205,-0.37177128,0.30762285,491.72113,0.95833331,0.4642857,5147.4287,4300.3335,255.4989,139.90002,-14.400024
15,t0,10.6,Exp,772.61664,6,25,4.6689038,246.15384,-0.37406403,3.9637806,195.21057,0.83333331,0.83333331,4855.75,4047.7,190.44385,-8.2999878,8.4000244
15,t1,10.6,Exp,598.73608,6,25,4.6689038,175,-0.88205475,31.467031,426.21057,0.91666669,0.88095242,5011.2002,4186,269.01013,323.30005,44.950012
16,t0,7.1972222,Exp,675.3623,5,12,-1.2739058,198,0.97354865,7.2405539,122.34033,0.95833331,0.20238094,5147.3335,5148,88.080444,-66.599976,-37.5
16,t1,7.1972222,Exp,577.24591,5,12,-1.2739058,229,-0.31284884,7.0071611,330.19415,0.95833331,0.17857143,4990.875,4427.2002,-134.8866,117.34998,82.450012
17,t0,10.433333,Exp,608.59418,6,20,-2.425941,192.84616,-0.90881777,0.95356607,286.70001,0.79761904,0.95833331,4481.5,4491.1665,118.71063,102.94995,-2.1499939
17,t1,10.433333,Exp,772.45905,7,20,-2.425941,285,0.45739791,0.50909573,232.85553,0.92261904,0.88095242,5001.5713,5147,294.69348,130.40002,-92.150024
