p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
1,12.444445,0,1,-5.3971009,17,652.28571,291,-.69626033,.52402228,7
1,12.444445,1,1,-5.3971009,17,671.87274,238,-.44495177,.12808843,
1,12.444445,2,1,-5.3971009,17,783.91431,96.470589,.41962975,.51108128,7
2,9.8249998,0,2,-2.6577597,29,549.13232,226,.2978349,-.31709272,5
2,9.8249998,1,2,-2.6577597,29,450.79166,269,.89959246,-1.3011233,
2,9.8249998,2,2,-2.6577597,29,727.81635,103,.073829189,.61441028,7
3,12.463889,0,2,-7.271596,23,587.29034,196,.23577769,-.35649154,
3,12.463889,1,2,-7.271596,23,593.33331,208,.23795211,.40183941,
3,12.463889,2,2,-7.271596,23,664.5686,190,.48281872,-.11626664,7
4,11.838889,0,1,-10.068747,11,499.23438,245.46153,.43176001,1.1524714,5
4,11.838889,1,1,-10.068747,11,572.81818,278,.021285813,.054429129,6
4,11.838889,2,1,-10.068747,11,726.58698,205.22223,.046680517,-.31116191,6
5,7.6111112,0,2,-12.128778,21,,,-.43376431,-1.0933236,
5,7.6111112,1,2,-12.128778,21,529.82257,,,-.2653816,4
5,7.6111112,2,2,-12.128778,21,675.83673,255.88889,.035599425,.059367787,
6,7.8944445,0,2,-11.140738,24,732.14813,155,-.58765268,.92178661,6
6,7.8944445,1,2,-11.140738,24,377.46429,325,-.84807199,.77514076,5
6,7.8944445,2,2,-11.140738,24,774.86365,240.76471,.037554808,.35964051,7
7,7.0194445,0,2,-.39788103,20,,,.70947462,.36943519,4
7,7.0194445,1,2,-.39788103,20,653.1228,320,-.3914558,-.39697766,4
7,7.0194445,2,2,-.39788103,20,642.77271,197.78947,-.77335727,-.40495655,5
8,6.7472224,0,1,-4.9240685,21,637.26416,329,-.61493778,,4
8,6.7472224,1,1,-4.9240685,21,696.11108,283,-.23740724,-.43639031,5
8,6.7472224,2,1,-4.9240685,21,625.34613,218.22223,-.42092362,-.66671276,6
9,9.8166666,0,1,-3.7435279,15,577.83331,323,-.71168715,-.42478144,6
9,9.8166666,1,1,-3.7435279,15,772.45905,242,-.5889169,.2606473,6
9,9.8166666,2,1,-3.7435279,15,692.29169,275.11111,-1.0604396,-.67380941,6
10,11.105556,0,1,-4.8158383,8,622.90002,243,.29389977,.22703417,5
10,11.105556,1,1,-4.8158383,8,,,,,
