Participant,Group,Date,Weeks,Tot_session,LabelledSessions,Games,NumGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,premature_go,too_late_responses,stop_trials,correct_inhibits,false_alarms,prem_false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT0,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT,New_seq_session
1,1,17/05/2019,1,1,1,,2,106,31.13207547,77.35849057,82,61,73,4,0,7,0.095890411,1,0,33,21,9,0,0.054794521,1,0.363636364,0.636363636,0.363636364,6.079484565,-2.690986587,832.0028985,705.8661111,384.9056604,158.4402864,447.0972382,301.1493395,301.1493395,350.9043396,686.0549999,686.0549999,735.81,,,,0,832.0028985,863.8347541,589.285,295.9511574,295.9511574,249.3741688,491.5817437,204.0416264,0.355709286,0.355709286,0.288682723,0.834200334,0.289065622,1
1,1,17/05/2019,1,1,1,,1,69,30.43478261,84.05797101,58,43,48,5,0,0,0,0,0,21,15,6,0,0.104166667,1,0.285714286,0.714285714,0.285714286,6.296677691,-2.582390024,1013.221628,897.675,493.4782609,121.5443043,519.743367,360.611739,360.611739,360.611739,854.0899999,854.0899999,854.0899999,,,,0,1013.221628,1013.221628,NaN,205.6366772,205.6366772,205.6366772,NaN,102.1200022,0.202953304,0.202953304,0.202953304,NaN,0.11376055,1
1,1,19/05/2019,1,2,2,,1,71,29.57746479,80.28169014,57,48,50,1,0,0,0,0,0,21,9,12,0,0.02,1,0.571428571,0.428571429,0.571428571,5.550716499,-2.95537062,912.4855208,829.5595833,589.4366197,68.61668527,323.0489011,310.3633803,310.3633803,310.3633803,899.8,899.8,899.8,,,,0,912.4855208,912.4855208,NaN,183.6981947,183.6981947,183.6981947,NaN,101.2371694,0.201316284,0.201316284,0.201316284,NaN,0.122037249,2
1,1,20/05/2019,1,3,3,,2,127,31.49606299,73.22834646,93,72,87,5,0,8,0.091954023,0,0,40,21,14,1,0.057471264,1,0.475,0.525,0.475,5.793435647,-2.834011046,733.591125,584.2810715,260.2362205,110.075476,473.3549045,350.0837795,350.0837795,411.4537795,610.32,610.32,671.69,,,,0,733.591125,726.4102778,798.21875,285.7164993,285.7164993,278.0372821,363.1837758,285.3033305,0.389476494,0.389476494,0.38275516,0.45499279,0.488298089,3
1,1,20/05/2019,1,3,3,,1,65,30.76923077,67.69230769,44,31,45,14,0,0,0,0,0,20,13,7,0,0.311111111,1,0.35,0.65,0.35,6.116049336,-2.672704201,1049.245,895.5064286,284.6153846,171.8291023,764.6296154,613.8046154,613.8046154,613.8046154,898.42,898.42,898.42,,,,0,1049.245,1049.245,NaN,270.5440103,270.5440103,270.5440103,NaN,206.0713637,0.257846366,0.257846366,0.257846366,NaN,0.230117124,3
1,1,21/05/2019,1,4,4,,1,71,29.57746479,71.83098592,51,43,50,7,0,0,0,0,0,21,8,13,1,0.14,1,0.619047619,0.380952381,0.619047619,5.427748421,-3.016854659,967.8139535,746.3076923,539.4366197,71.17156984,428.3773338,513.5633803,513.5633803,513.5633803,1053,1053,1053,,,,0,967.8139535,967.8139535,NaN,241.5000006,241.5000006,241.5000006,NaN,114.8363942,0.249531431,0.249531431,0.249531431,NaN,0.15387272,4
1,1,24/05/2019,2,5,5,,2,109,30.27522936,72.47706422,79,66,76,4,0,5,0.065789474,1,0,33,13,19,2,0.052631579,1,0.606060606,0.393939394,0.606060606,5.461662731,-2.999897504,729.5726389,575.2915789,331.6513761,167.1743034,397.9212627,409.6736239,409.6736239,436.2086239,741.325,741.325,767.86,,,,0,729.5726389,740.1112121,613.6483333,325.1565256,325.1565256,274.9723826,707.6725145,272.7511926,0.445680811,0.445680811,0.371528465,1.153221603,0.474109482,5
1,1,24/05/2019,2,5,5,,1,74,29.72972973,74.32432432,55,45,52,4,0,0,0,3,0,22,10,12,1,0.076923077,1,0.545454545,0.454545455,0.545454545,5.616543575,-2.922457082,654.5092708,535.9175,304.0540541,77.52894146,350.4552168,329.7659459,329.7659459,329.7659459,633.82,633.82,633.82,,,,0,654.5092708,693.5937778,68.24166667,282.3522081,282.3522081,245.2684978,10.17660593,206.7170745,0.431395277,0.431395277,0.353619807,0.149125988,0.385725554,5
1,1,27/05/2019,2,6,6,,1,82,30.48780488,74.3902439,61,54,57,0,0,0,0,3,0,25,7,18,1,0,1,0.72,0.28,0.72,5.147887362,-3.156785188,574.5495614,424.8719444,112.195122,72.67421623,462.3544395,634.719878,634.719878,634.719878,746.915,746.915,746.915,,,,0,574.5495614,603.3343519,56.42333334,303.5718718,303.5718718,285.1506858,23.91762967,278.454963,0.528364987,0.528364987,0.472624648,0.423896077,0.655385621,6
1,1,28/05/2019,3,7,7,,2,128,29.6875,79.6875,102,85,90,3,0,2,0.022222222,0,0,38,17,19,0,0.033333333,1,0.552631579,0.447368421,0.552631579,5.598416017,-2.931520861,790.2183908,601.9473684,317.96875,89.11957264,472.2496408,462.03125,462.03125,482.03125,780,780,800,,,,0,790.2183908,772.9176471,1525.5,271.7990205,271.7990205,249.9167581,0.707106781,119.1318008,0.343954309,0.343954309,0.323342026,0.000463525,0.19791066,7
