ID,Session,Score_raw,Score
36,2,37,6.166666667
47,2,37,6.166666667
79,2,37,6.166666667
94,2,37,6.166666667
97,2,37,6.166666667
98,2,37,6.166666667
117,2,37,6.166666667
114,2,37,6.166666667
108,2,37,6.166666667
9,3,37,6.166666667
36,3,37,6.166666667
59,3,37,6.166666667
78,3,37,6.166666667
98,3,37,6.166666667
59,4,37,6.166666667
59,6,37,6.166666667
58,6,37,6.166666667
58,7,37,6.166666667
59,8,37,6.166666667
58,8,37,6.166666667
47,8,37,6.166666667
79,8,37,6.166666667
5,2,37,6.166666667
19,2,36,6
42,2,37,6.166666667
44,2,37,6.166666667
70,2,36,6
78,2,37,6.166666667
102,2,36,6
100,2,36,6
19,3,37,6.166666667
20,3,37,6.166666667
90,3,36,6
95,3,37,6.166666667
97,3,37,6.166666667
19,4,36,6
21,4,37,6.166666667
6,4,37,6.166666667
22,4,36,6
6,5,37,6.166666667
37,6,37,6.166666667
47,6,37,6.166666667
6,7,37,6.166666667
47,7,37,6.166666667
72,7,36,6
78,8,37,6.166666667
8,2,37,6.166666667
31,2,35,5.833333333
51,2,37,6.166666667
63,2,36,6
88,2,35,5.833333333
115,2,36,6
6,3,37,6.166666667
8,3,36,6
22,3,37,6.166666667
37,3,35,5.833333333
32,3,37,6.166666667
47,3,37,6.166666667
70,3,36,6
99,3,35,5.833333333
92,3,35,5.833333333
8,4,36,6
37,4,35,5.833333333
70,4,35,5.833333333
72,4,35,5.833333333
19,5,36,6
19,6,36,6
6,6,37,6.166666667
64,6,36,6
48,6,37,6.166666667
19,7,36,6
9,7,35,5.833333333
59,7,37,6.166666667
61,7,36,6
103,7,35,5.833333333
113,7,35,5.833333333
51,7,35,5.833333333
95,8,36,6
18,2,34,5.666666667
93,2,36,6
57,3,35,5.833333333
44,3,34,5.666666667
94,3,35,5.833333333
37,5,35,5.833333333
48,5,36,6
65,5,34,5.666666667
22,6,36,6
64,7,36,6
48,7,36,6
100,7,34,5.666666667
112,7,35,5.833333333
65,7,34,5.666666667
61,8,35,5.833333333
51,8,35,5.833333333
72,8,34,5.666666667
1,2,35,5.833333333
37,2,34,5.666666667
64,2,36,6
104,2,34,5.666666667
4,3,35,5.833333333
61,3,36,6
72,3,33,5.5
74,3,37,6.166666667
58,4,33,5.5
69,4,33,5.5
61,4,33,5.5
64,5,36,6
51,5,35,5.833333333
44,5,33,5.5
61,6,34,5.666666667
51,6,35,5.833333333
70,6,34,5.666666667
72,6,33,5.5
104,7,34,5.666666667
90,8,34,5.666666667
65,8,33,5.5
3,2,35,5.833333333
71,2,33,5.5
86,2,32,5.333333333
16,3,32,5.333333333
69,3,32,5.333333333
79,3,32,5.333333333
90,4,34,5.666666667
21,5,32,5.333333333
32,5,32,5.333333333
3,5,35,5.833333333
52,5,32,5.333333333
32,6,32,5.333333333
52,6,32,5.333333333
114,7,32,5.333333333
92,8,32,5.333333333
57,8,34,5.666666667
16,2,32,5.333333333
76,2,34,5.666666667
99,2,33,5.5
22,2,33,5.5
80,2,32,5.333333333
35,2,32,5.333333333
3,3,34,5.666666667
26,3,32,5.333333333
65,3,32,5.333333333
63,4,33,5.5
95,4,33,5.5
38,4,35,5.833333333
47,5,32,5.333333333
22,5,35,5.833333333
35,5,32,5.333333333
3,6,34,5.666666667
20,6,33,5.5
4,6,33,5.5
20,7,33,5.5
63,7,33,5.5
22,7,34,5.666666667
73,7,32,5.333333333
88,8,31,5.166666667
73,8,32,5.333333333
6,2,32,5.333333333
21,2,31,5.166666667
25,2,31,5.166666667
74,2,32,5.333333333
89,2,30,5
90,2,33,5.5
28,2,33,5.5
72,2,30,5
107,2,32,5.333333333
88,3,31,5.166666667
89,3,32,5.333333333
21,3,30,5
38,3,34,5.666666667
16,4,31,5.166666667
71,4,32,5.333333333
35,4,32,5.333333333
42,5,33,5.5
3,7,32,5.333333333
28,7,32,5.333333333
57,7,33,5.5
106,7,31,5.166666667
68,8,34,5.666666667
71,8,30,5
76,8,33,5.5
89,8,32,5.333333333
9,2,33,5.5
52,2,31,5.166666667
7,2,30,5
10,2,33,5.5
41,2,30,5
91,2,32,5.333333333
96,3,29,4.833333333
35,3,32,5.333333333
