ID,Session,ID_title,Date_x,Time,Online_x,Age,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,DOB,Online_Test_Group,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,Score,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,twodelays,fourdelays,sixdelays,tot_hiconf,tot_loconf,perc_hiconf_delay,perc_loconf_delay,hi_lo_conf_del_diff,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,AvgdelayRT_3SD,AvgimmRT,AvgimmRT_3SD,imm_del_RT_Diff,imm_del_RT_3SD_Diff,Avg_hiconfRT,Avg_hiconfRT_3SD,Avg_loconfRT,Avg_loconfRT_3SD,hi_lo_conf_RT_Diff,hi_lo_conf_RT_3SD_Diff,avg_del_prob,avg_indiff,total_randb,randtype,auc_prob,auc_indiff,auc_indiff_all,auc_tot_val,corr_r_pob,corr_int_pob,corr_r_indiff_all,corr_int_indiff_all,corr_r_tot_val,corr_int_tot_val,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Training_Start,Training_End,Gender,Group,Online_y,Date_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Age_YM,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,totalsessions,trainingslope,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
1,0,1,15/04/2019,11:21,0,12,6,4,2,3.132,,,WindowsLaptop,7,No,0,3,3,,1.647285714,,1,-1.484714286,strat_inc,,0.619786861,0.437226906,0.419932105,0.425787915,-0.177438966,-0.709067003,0.625121658,0.442486236,0.420558179,0.397752097,0.519318887,-0.177359427,-0.704025776,0.12156679,2,11.11111111,1,0,1,1,1,11.11111111,11.11111111,0,1066.5,1445.9791,741.8235294,3688,790,738.8125,738.8125,2949.1875,51.1875,676.4444444,676.4444444,1456.555556,815.375,780.1111111,138.9305556,0.111111111,0.25,1,2,0.333333333,,1.25,1.541666667,-0.095238095,0.444444444,0,0.25,-0.083333333,0.638888889,6,4.055,6,1.9785,4,8.315,4,2.4745,-1.114,2.954,0.964869614,0.498,0.825,0.968444071,Trevor Roberts School,16/05/2019,02/07/2019,M,1,0,15/04/2019,12.44444444,"12,5",13,7,17,3,15.78947368,2,Experimental,-5.397101039,1.5,2,1,12.05,38,62,24,66,128,124,95,12.444445,7,17,-5.3971009,-0.69626033,176.28107,0.52402228,-0.7986784,0.035288543,-0.30361754,-0.81804502,0.95833331,0.85119045,119,127,123,-349
1,1,1,22/07/2019,15:47,0,12,6,3,3,1.389666667,,,WindowsLaptop,7,No,0,3,3,,1.350714286,,0,-0.038952381,fair,,0.485094982,0.615672925,0.532913611,0.699567002,-0.344481723,-0.047430309,0.471803966,0.618155719,0.547742037,0.698605764,0.516724483,-0.327302542,-0.038886444,-0.181881282,6,33.33333333,2,3,1,3,3,33.33333333,33.33333333,0,625.2222222,504.7899453,625.2222222,956.6666667,956.6666667,459.5,459.5,497.1666667,497.1666667,667.1111111,667.1111111,583.3333333,583.3333333,-83.77777778,-83.77777778,0.333333333,0.425,1,2,1.5,,2.05,2.708333333,-0.19047619,1,-0.098571429,0.77,-0.152380952,1.088888889,6,7.28,5,3.763,4,2.62,4,0.793,-0.081142857,2.564,0.00872002,-0.518,0.21,0.970921986,Trevor Roberts School,16/05/2019,02/07/2019,M,1,0,22/07/2019,12.71388889,"12,8",13,7,17,3,15.78947368,2,Experimental,-5.397101039,1.5,2,1,12.08,25,40,25,71,111,109,73,12.444445,,17,-5.3971009,-0.44495177,171.40527,0.12808843,-0.14804985,0.18472126,0.32162109,0.35897309,0.92261904,0.39285713,119,137,128,-31
1,2,1,24/01/2021,14:49,1,,,6,0,2.127065,,1,Win32,,No,0,,,0.43567,,1,,,,0.43567,,,,,,,,,,,,,,,9,50,4,2,3,5,4,55.55555556,44.44444444,-11.11111111,1.52418,2.871872683,0.884651471,2.373951667,1.121175,0.674408333,0.674408333,1.699543333,0.446766667,1.335812778,1.335812778,1.712547222,0.377095,0.376734444,-0.958717778,0.5,0.5,2,2,2.666666667,,2.5625,3.75,-0.161904762,1.066666667,-0.085714286,0.8,-0.123809524,1.155555556,6,7.98828125,6,4.09375,4,8.935546875,4,2.680989583,-1.244419643,7.34375,0.855538296,0.302734375,2.421875,0.863328742,Trevor Roberts School,16/05/2019,02/07/2019,M,1,0,24/01/2021,14.21944444,"14,2",13,7,17,3,15.78947368,2,Experimental,-5.397101039,1.5,2,1,14.02,,,21,54,,,,12.444445,7,17,-5.3971009,0.41962975,126.85553,0.51108128,2.0676486,,,,,,,,,
2,0,2,17/04/2019,14:58,0,9,6,3,3,1.379166667,,,WindowsLaptop,7,No,0,4,2,,0.801142857,,1,-0.57802381,gen_inc,,,,,,,,,,,,,,,,2,11.11111111,2,0,0,0,2,0,22.22222222,-33.33333333,1597.666667,1271.742852,1597.666667,2025.5,2025.5,1544.1875,1544.1875,481.3125,481.3125,1797.666667,1797.666667,1397.666667,1397.666667,-400,-400,0.111111111,0.291666667,0,1,0.5,1.4375,1.4375,2,-0.076190476,0.377777778,-0.028571429,0.391666667,-0.114285714,0.816666667,6,4.883333333,6,2.381,4,7.4925,4,2.2505,-1.148,3.901333333,0.938481989,0.8165,-1.59,0.988931722,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,17/04/2019,9.825,"9,9",23,8,29,9,29.03225806,2,Control,-2.657759774,1,1,1,9.09,35,66,21,60,126,123,94,9.8249998,5,29,-2.6577597,0.2978349,253.77271,-0.31709272,0.38258979,0.089717135,0.17556356,0.072720975,0.95833331,0.84523809,127,130,128.5,-349
2,1,2,08/07/2019,15:58,0,10,6,4,2,1.130833333,,,WindowsLaptop,7,No,0,3,3,,1.939714286,,1,0.808880952,strat_inc,,,,,,,,,,,,,,,,4,22.22222222,2,1,1,2,2,22.22222222,22.22222222,0,1673.388889,933.5103981,1673.388889,1919.75,1919.75,1603,1603,316.75,316.75,1912.777778,1912.777778,1434,1434,-478.7777778,-478.7777778,0.222222222,0.354166667,0,1,0.833333333,1.625,1.625,2.125,-0.171428571,0.822222222,-0.082142857,0.641666667,-0.15,0.983333333,6,8.61,6,4.4105,4,4.6325,4,1.353,0.218857143,2.844,0.165382144,-0.6615,2.94,0.940645161,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,08/07/2019,10.05,"10,0",23,8,29,9,29.03225806,2,Control,-2.657759774,1,1,1,10,32,59,21,60,119,117,87,9.8249998,,29,-2.6577597,0.89959246,208.85455,-1.3011233,-0.6758827,-0.18367064,0.26160699,-0.39019012,,0.6785714,116,112,114,-31
2,2,2,20/12/2020,15:17,1,,,3,3,6.282865,Thomas,1,Win32,,Yes,1,,,4.267765,,1,,,,4.267765,,,,,,,,,,,,,,,18,100,6,6,6,9,9,100,100,0,0.790497222,0.797851936,0.790497222,0.790497222,0.790497222,,,,,0.545823889,0.545823889,1.035170556,1.035170556,0.489346667,0.489346667,1,0.75,0,1,5,3.75,3.75,5,0,1,0,0.75,0,1,6,8.444928816,6,4.224778778,4,9.208668325,3,2.788058502,-0.554653647,5.38621658,0.94200756,0.35826336,2.417351525,0.891322934,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,20/12/2020,11.5,"11,6",23,8,29,9,29.03225806,2,Control,-2.657759774,1,1,1,11.06,,,22,60,,,,9.8249998,7,29,-2.6577597,0.073829189,38.337524,0.61441028,1.9594947,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,17/04/2019,12.46388889,"12,5",28,7,23,14,58.33333333,2,Control,-7.271595887,1,1,1,12.05,,,24,66,,,,12.463889,,23,-7.271596,0.23577769,60.394714,-0.35649154,0.92779052,-0.039813787,0.080265611,,0.88690472,0.79761904,141,133,137,-349
3,1,3,08/07/2019,16:37,0,12,6,3,3,1.8505,,,WindowsLaptop,7,No,0,3,3,,2.194571429,,0,0.344071429,fair,,,,,,,,,,,,,,,,12,66.66666667,3,6,3,6,6,66.66666667,66.66666667,0,1957.611111,706.5170693,1957.611111,2032.25,2032.25,1808.333333,1808.333333,223.9166667,223.9166667,2185.111111,2185.111111,1730.111111,1730.111111,-455,-455,0.666666667,0.75,3,2,3.333333333,,3.75,4.166666667,-0.171428571,1.266666667,0,0.75,-0.085714286,1.133333333,6,9.343333333,4,4.7315,4,6.855,4,2.088,-0.212571429,5.087333333,0.281799052,-0.469,4.2,0.902311558,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,08/07/2019,12.68888889,"12,8",28,7,23,14,58.33333333,2,Control,-7.271595887,1,1,1,12.08,39,63,26,75,138,133,99,12.463889,,23,-7.271596,0.23795211,215.83337,0.40183941,0.36275613,,0.093167126,-1.0586104,0.95833331,0.91666669,141,141,141,-31
3,2,3,20/12/2020,15:18,1,,,3,3,3.054295,10-Jun,1,Win32,,Yes,1,,,0.960675,,1,,,,0.960675,,,,,,,,,,,,,,,18,100,6,6,6,9,9,100,100,0,1.177592778,0.717371681,1.177592778,1.177592778,1.177592778,,,,,1.344341111,1.344341111,1.010844444,1.010844444,-0.333496667,-0.333496667,1,0.75,0,1,5,3.75,3.75,5,0,1,0,0.75,0,1,6,9.151475694,4,4.557942708,4,5.582682292,4,1.649739583,-0.263020833,5.072048611,0.83489292,1.577473958,-7.3046875,0.88208575,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,20/12/2020,14.13888889,"14,1",28,7,23,14,58.33333333,2,Control,-7.271595887,1,1,1,14.01,,,21,54,,,,12.463889,7,23,-7.271596,0.48281872,-48.524414,-0.11626664,0.51841623,,,,,,,,,
4,0,4,18/04/2019,13:06,0,11,6,4,2,1.992666667,,,WindowsLaptop,7,Yes,1,3,3,,0.828857143,,1,-1.163809524,strat_inc,,0.804931949,0.698279453,0.486952212,0.528113843,-0.435024954,-0.862133573,0.812849367,0.685928305,0.486858576,0.586406541,0.443931417,-0.426516064,-0.851631997,-0.142475124,2,11.11111111,1,0,1,1,1,11.11111111,11.11111111,0,1678.944444,2537.971596,1098.058824,6142.5,731,1121,1121,5021.5,-390,1086.555556,1086.555556,2271.333333,1111,1184.777778,24.44444444,0.111111111,0.25,1,2,0.333333333,,1.25,1.541666667,-0.095238095,0.444444444,0,0.25,-0.083333333,0.638888889,6,3.956666667,5,2.0085,4,9.8175,2,2.9635,-1.266285714,3.388666667,0.923793053,0.1095,4.27,0.6,Trevor Roberts School,16/05/2019,02/07/2019,F,1,0,18/04/2019,11.83888889,"11,10",12,6,11,1,9.090909091,2,Experimental,-10.06874666,2,2,2,11.1,33,55,18,50,105,104,63,11.838889,5,11,-10.068747,0.43176001,93.596497,1.1524714,0.028908417,0.24271375,0.56363714,-0.013836659,0.95833331,0.88095242,109,114,111.5,-349
