P_ID,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
1.0,M,12.44444444,1.0,7.0,17.0,21.0,3.0,15.78947368,-5.397101039
2.0,M,9.825,2.0,8.0,29.0,31.0,9.0,29.03225806,-2.657759774
3.0,M,12.46388889,2.0,7.0,23.0,24.0,14.0,58.33333333,-7.271595887
4.0,F,11.83888889,1.0,6.0,11.0,11.0,1.0,9.090909091,-10.06874666
5.0,M,7.6111111110000005,2.0,8.0,21.0,25.0,0.0,0.0,-12.12877727
6.0,F,7.8944444439999995,2.0,8.0,24.0,24.0,15.0,62.5,-11.14073729
7.0,F,7.0194444439999995,2.0,8.0,20.0,20.0,4.0,20.0,-0.397881039
8.0,M,6.747222222,1.0,8.0,21.0,21.0,7.0,33.33333333,-4.924068256
9.0,M,9.816666667,1.0,8.0,15.0,17.0,7.0,46.66666667,-3.7435279660000003
10.0,M,11.10555556,1.0,4.0,8.0,8.0,4.0,50.0,-4.815838193
11.0,M,8.319444444,2.0,6.0,10.0,10.0,3.0,30.0,-11.70008436
12.0,M,13.31666667,1.0,6.0,10.0,11.0,3.0,30.0,10.63622881
13.0,M,10.19166667,2.0,7.0,21.0,22.0,2.0,9.523809523999999,-5.47400772
14.0,F,7.988888889,1.0,7.0,21.0,24.0,4.0,17.39130435,-4.855376307
15.0,M,10.6,1.0,8.0,25.0,27.0,6.0,23.07692308,4.668904041
16.0,F,7.197222222000001,1.0,8.0,12.0,15.0,9.0,64.28571429,-1.2739057059999999
17.0,M,10.43333333,1.0,7.0,20.0,21.0,0.0,0.0,-2.425941022
18.0,F,8.533333333,1.0,7.0,20.0,22.0,5.0,23.80952381,-4.623863172
19.0,M,6.7694444439999995,2.0,8.0,14.0,15.0,7.0,50.0,-0.8583559059999999
20.0,F,6.280555556,1.0,8.0,22.0,24.0,6.0,26.08695652,-8.254373957
21.0,F,9.669444444,2.0,8.0,26.0,26.0,3.0,11.53846154,-4.573440018
22.0,M,12.12777778,2.0,7.0,23.0,23.0,3.0,13.04347826,-7.414721612999999
23.0,M,8.211111111000001,1.0,3.0,6.0,6.0,4.0,66.66666667,-16.82935118
24.0,F,9.855555556,2.0,2.0,3.0,3.0,2.0,66.66666667,-12.15139255
25.0,F,8.925,1.0,8.0,31.0,31.0,21.0,67.74193548,-6.464053606
26.0,M,7.777777778,2.0,7.0,12.0,12.0,2.0,16.66666667,-16.45539284
27.0,M,12.61388889,2.0,7.0,20.0,20.0,2.0,10.0,-5.976103256
28.0,F,8.216666667,2.0,7.0,18.0,23.0,6.0,28.57142857,3.5053709769999997
29.0,M,8.416666667000001,1.0,7.0,19.0,19.0,10.0,52.63157895,-1.551396059
30.0,F,10.67777778,1.0,7.0,22.0,22.0,1.0,4.545454545,-3.738674676
31.0,F,10.67777778,1.0,7.0,23.0,26.0,1.0,4.347826087,-8.089684289
32.0,M,6.372222222,2.0,8.0,32.0,34.0,6.0,18.75,-2.644401409
33.0,F,6.375,2.0,8.0,26.0,27.0,6.0,22.22222222,-5.914525327000001
34.0,F,7.344444444,1.0,7.0,23.0,23.0,9.0,39.13043478,-5.586923874
35.0,F,6.391666667000001,1.0,4.0,5.0,5.0,1.0,20.0,-49.27718173
36.0,F,6.630555556,2.0,6.0,16.0,16.0,7.0,43.75,-11.85479806
37.0,F,6.280555556,1.0,3.0,6.0,11.0,0.0,0.0,2.5237292669999998
38.0,F,8.502777777999999,2.0,8.0,16.0,19.0,7.0,41.17647059,-12.09961233
39.0,F,10.54444444,2.0,4.0,4.0,4.0,0.0,0.0,-67.07229196
40.0,M,9.616666667,1.0,6.0,12.0,13.0,9.0,69.23076923,-7.56726116
41.0,F,6.191666667000001,1.0,7.0,10.0,10.0,3.0,30.0,-12.63661247
42.0,F,10.92222222,2.0,4.0,6.0,7.0,2.0,33.33333333,-42.4189876
43.0,F,7.9,2.0,6.0,6.0,6.0,0.0,0.0,-78.31253629
44.0,M,9.494444443999999,2.0,5.0,5.0,5.0,0.0,0.0,-64.60448758
45.0,F,7.033333333,2.0,8.0,11.0,13.0,3.0,27.27272727,7.216829838
46.0,F,8.811111111,2.0,7.0,22.0,28.0,7.0,30.43478261,-1.7752825730000001
