id,timepoint,CorticalThickness,Rputa.frontal_FA,Rputa.frontal_MD,Rputa.frontal_RD,Rcaud.frontal_FA,Rcaud.frontal_MD,Rcaud.frontal_RD,HavardOxford_Cortl,DMN,FPN,CON
1,0,2.911624144,0.38863,8.94E-04,6.91E-04,0.382093,9.47E-04,7.39E-04,-1.482138984,0.308384495,0.359617824,0.320257259
2,0,2.854231059,0.385373,9.10E-04,7.02E-04,0.420202,9.23E-04,7.30E-04,0.037275729,0.351307639,0.190234615,0.329341315
3,0,2.856543692,0.426209,8.54E-04,6.38E-04,0.383838,9.34E-04,7.34E-04,0.371172953,0.380070873,0.181775674,0.358972949
4,0,2.910460666,0.375233,8.98E-04,7.09E-04,0.353266,9.36E-04,7.43E-04,1.26194323,0.346391367,0.339845683,0.24901662
6,0,2.80740648,0.399571,8.60E-04,6.61E-04,0.378477,9.04E-04,7.08E-04,-0.210587989,0.433414171,0.257648016,0.184545865
8,0,3.039243378,0.403402,9.10E-04,6.48E-04,0.353906,8.62E-04,7.30E-04,-0.536956745,0.195848944,0.120502676,0.304084033
9,0,2.974496595,0.402143,8.72E-04,6.68E-04,0.375065,9.29E-04,7.29E-04,-2.96455702,0.398491018,0.223971435,0.254782961
12,0,2.753795068,0.434797,8.33E-04,6.15E-04,0.372233,9.45E-04,7.47E-04,-1.298594829,0.320861062,0.317063703,0.559875507
13,0,2.778937761,0.40177,8.78E-04,6.72E-04,0.410078,9.58E-04,7.36E-04,1.673762893,0.410607927,0.396665417,0.51868671
14,0,2.879656077,0.383799,9.16E-04,7.14E-04,0.357213,9.58E-04,7.62E-04,0.525515081,0.44100711,0.384097227,0.220262081
15,0,2.878282884,0.400354,8.99E-04,6.90E-04,0.39653,9.47E-04,7.28E-04,0.335124315,0.586528586,0.196355621,0.389943046
16,0,2.836912135,0.390837,9.10E-04,7.02E-04,0.389015,9.59E-04,7.16E-04,-0.630470267,0.311562298,0.338854261,0.40442056
17,0,2.718236573,0.438533,8.69E-04,6.41E-04,0.379302,9.38E-04,7.35E-04,-3.336722094,0.263079513,0.284805407,0.160364607
19,0,2.894096364,0.355136,9.50E-04,7.60E-04,0.306533,9.72E-04,7.99E-04,3.063667931,0.274180282,0.377343173,0.169592499
20,0,2.784011528,0.387969,8.57E-04,6.68E-04,0.306533,9.11E-04,7.46E-04,-0.13799596,0.196919199,0.127858736,0.293183744
21,0,2.948856848,0.406733,8.42E-04,6.41E-04,0.329316,8.96E-04,7.27E-04,2.730621567,0.40217036,0.336838195,0.312750473
22,0,2.835675007,0.4363,8.35E-04,6.17E-04,0.426613,8.62E-04,6.46E-04,2.273113313,0.447419091,0.202446218,0.364323568
27,0,2.82298182,0.404038,8.71E-04,6.69E-04,0.385385,9.03E-04,7.38E-04,-0.210587989,0.265105069,0.211447041,0.310617104
