id,timepoint,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
1,0,652.28571,291,-0.69626033,0.52402228,7
1,1,671.87274,238,-0.44495177,0.12808843,7
1,2,783.91431,96.470589,0.41962975,0.51108128,7
2,0,549.13232,226,0.2978349,-0.31709272,5
2,1,450.79166,269,0.89959246,-1.3011233,6
2,2,727.81635,103,0.073829189,0.61441028,7
3,0,587.29034,196,0.23577769,-0.35649154,6
3,1,593.33331,208,0.23795211,0.40183941,6
3,2,664.5686,190,0.48281872,-0.11626664,7
4,0,499.23438,245.46153,0.43176001,1.1524714,5
4,1,572.81818,278,0.021285813,0.054429129,6
4,2,726.58698,205.22223,0.046680517,-0.31116191,6
5,0,595.85077,235,-0.43376431,-1.0933236,4
5,1,529.82257,269,0.04088036,-0.2653816,4
5,2,675.83673,255.88889,0.035599425,0.059367787,7
6,0,732.14813,155,-0.58765268,0.92178661,6
6,1,377.46429,325,-0.84807199,0.77514076,5
6,2,774.86365,240.76471,0.037554808,0.35964051,7
7,0,539.57446,226,0.70947462,0.36943519,4
7,1,653.1228,320,-0.3914558,-0.39697766,4
7,2,642.77271,197.78947,-0.77335727,-0.40495655,5
8,0,637.26416,329,-0.61493778,0.054429129,4
8,1,696.11108,283,-0.23740724,-0.43639031,5
8,2,625.34613,218.22223,-0.42092362,-0.66671276,6
9,0,577.83331,323,-0.71168715,-0.42478144,6
9,1,772.45905,242,-0.5889169,0.2606473,6
9,2,692.29169,275.11111,-1.0604396,-0.67380941,6
10,0,622.90002,243,0.29389977,0.22703417,5
10,1,705.44263,246.11765,0.24633943,0.99680084,6
10,2,808.71429,155.78947,0.92985928,0.30232298,6
11,0,605.16278,334,0.59589118,0.20445448,5
11,1,620.93219,268,0.069098711,-0.31314379,5
11,2,541,295.53845,-0.28507721,-0.82041299,6
12,0,485.61429,175,0.32210073,0.3623994,6
12,1,656.17645,209,-0.40285641,1.1022116,7
12,2,645.35999,298.11765,-0.35200346,-0.91454816,7
13,0,591.0141,199,-1.0140537,-0.51090282,6
13,1,386.40985,237.38461,-0.38558805,-0.51090282,5
13,2,758.71741,200.57895,0.073663987,0.23219173,6
14,0,520.69116,321,-0.028030243,-0.011605799,6
14,1,830.49152,205,-0.38957307,0.72897375,6
14,2,783.15002,256,0.028098347,-0.45113903,6
15,0,696.11108,246.15384,-0.59790361,-0.13339992,6
15,1,598.73608,175,-0.80452991,0.60608149,6
15,2,767.3913,187,0.04826232,-0.80444503,6
16,0,675.3623,198,0.86375034,-0.33051187,5
16,1,483.55884,205.29411,-0.4183251,-0.15271182,5
16,2,754.84442,234.66667,-0.73851383,1.0881059,7
17,0,608.59418,192.84616,-0.72402942,-0.058531463,6
17,1,559.0769,210.47058,-0.028030243,-0.3202841,5
17,2,610.27271,201.63158,0.50278354,0.027659029,8
18,0,528.68964,333,-0.071291871,0.51875043,4
18,1,595.94116,211.35294,-0.92240053,-0.74057066,7
18,2,765.6087,346.82352,0.016438346,-0.47258863,7
19,0,646.26868,241,0.063949138,0.68033564,6
19,1,481.48529,228,0.73114818,1.0434459,5
19,2,652.28571,211.35294,0.94540727,-0.56449103,8
20,0,702.84784,215,0.70528799,-0.70491683,4
20,1,677.11938,224,0.010702012,0.78882074,4
20,2,639.57501,92,-0.65370637,-0.32719931,5
21,0,487.85507,284,-0.41041857,0.21627696,5
21,1,573.33331,279,-0.22011267,0.54819465,6
21,2,554.47919,287.33334,0.05374229,-0.68092382,6
22,0,657.44116,204,-0.022813741,-0.2923657,6
22,1,428.25714,196,0.40107128,-0.066621661,6
22,2,698.86047,180,3.90E-04,0.80288893,6
23,0,469.10001,226,0.37584317,0.11342663,5
23,1,795.09088,296.75,-0.3914558,-0.17274617,6
23,2,682.26318,270,0.056294374,-0.19428492,6
24,0,626.42645,182,-0.84236813,0.41356832,7
24,1,517.78052,256,0.87282968,0.029001266,6
24,2,423.22449,264.22223,0.035588786,0.011238392,7
25,0,615.81482,265,-0.70894569,-0.66918653,6
25,1,666.90698,221.61539,0.089094207,0.49552763,4
25,2,518.33331,277.55554,-0.42701951,-0.056187816,5
26,0,674.30884,276,0.21522738,0.35985482,5
26,1,524.41431,254.73685,0.026833994,0.44697499,4
26,2,601.72583,182,0.58493215,-0.52692115,7
27,0,366.33334,212.07692,0.39558858,0.19219062,6
27,1,433.32001,269.15384,0.420977,1.0315214,7
27,2,476.69565,322.41177,-0.23257504,0.64745748,7
28,0,674.80951,182,-0.07317508,-0.34281486,5
28,1,483.46939,241,0.061821826,0.20445448,6
28,2,645.15912,250.11111,0.020992944,0.00245899,6
29,0,729.34784,218,-0.41731995,0.054621615,6
29,1,670.0213,255.33333,-0.72116613,0.33976087,5
29,2,811.30768,269.05264,0.056294374,-0.68857402,7
30,0,638.59723,222,-0.42555434,0.32269248,6
30,1,692.43475,113,-0.38619655,-0.038542241,6
30,2,698.78723,166,-0.005664196,-1.1037238,7
31,0,455.30884,271.38461,-0.077723809,0.11463913,7
31,1,473.66666,255.38461,-0.730151,-0.080727659,5
31,2,523.3125,96,-0.40747446,0.13467045,7
32,0,761.93335,286,-0.029181253,1.0043117,4
32,1,747.1087,282,0.017320938,-0.78203231,5
32,2,651.77777,178.88889,0.47589654,-0.36569074,6
33,0,708.43103,241,0.53952718,0.36432049,4
33,1,518.15515,318,-0.15538535,0.55334944,4
33,2,660.10205,285.22223,0.026075931,0.33313349,6
34,0,527.71667,285,0.58527106,0.64989424,5
34,1,816.19611,270,0.40719703,0.37694347,5
34,2,726.51166,116.64706,0.04088036,-0.42313966,6
35,0,685.24139,230.84616,-0.035885543,0.14504749,5
35,1,445.59573,237.76923,-0.22939122,0.90653563,4
35,2,609.85107,300,0.047727928,0.011238392,6
36,0,588.23883,293.07693,-0.72116613,0.50963116,4
36,1,561.73334,302,0.31996235,-0.28151238,4
36,2,634.25,234.53847,0.47589654,0.54084051,7
37,0,657.57141,335.15384,-0.98054594,0.12808843,4
37,1,692.13953,112.38461,0.10926633,0.33313349,4
37,2,750.44739,221,0.70528799,-0.70491683,7
38,0,564.82855,254,-0.99070603,-0.35299098,4
38,1,390.23438,294,0.40085274,-1.3970726,4
38,2,566.52081,264.88889,0.47940961,-0.19427872,7
39,0,533.91669,367,0.51061034,-0.7268554,5
39,1,433.35385,277,0.91962773,0.42924529,6
39,2,487.95651,211.11765,1.1630193,0.70161945,5
