id,change_CON
1,-0.105995559
2,-0.080860878
3,-0.033452212
4,0.073114682
5,NA
6,0.240041335
7,NA
8,0.03948243
9,0.051603636
10,NA
11,NA
12,-0.116214631
13,-0.005127568
14,-0.00193435
15,-0.132599496
16,0.039240316
17,0.126921507
18,NA
19,0.118866418
20,0.02853172
21,0.075856702
22,-0.047318858
23,NA
24,NA
25,NA
26,NA
27,0.013876674
28,-0.01775145
29,0.121449434
30,-0.062082523
31,0.017196782
32,0.077600547
33,0.189152249
34,0.056785302
35,NA
36,-0.020027112
37,NA
38,-0.029222858
39,-0.081597518
40,-0.079956576
41,-0.017901805
42,0
43,0.083707852
44,NA
45,0.21704232
46,-0.082779016
47,0.119265988
48,-0.08462467
49,-0.040297225
50,0.059746212
51,-0.0142674
52,NA
53,0.069341511
54,-0.139334854
55,0.050056562
56,-0.08830162
57,0.027330099
58,-0.07757076
59,0.073671169
60,0.097104162
61,-0.109420871
62,-0.180108781
65,0.002266269
66,-0.112990813
67,-0.019290067
68,0.250346427
69,NA
70,NA
71,NA
72,-0.117731549
73,-0.212437395
74,0.08564935
75,0.054737489
76,NA
77,NA
78,-0.029129865
79,0.215141264
80,-0.008401248
81,-0.040912445
82,NA
83,0.326123654
84,NA
85,0.099724766
86,0.027134249
87,NA
88,-0.052821723
89,NA
90,0.032326827
91,-0.010205242
92,-0.045915678
93,-0.097617285
94,-0.019354627
95,NA
96,-0.000623498
97,0.117247877
98,0.199721844
99,0.144766891
100,NA
101,0.146381484
102,NA
103,0.06832293
104,0.244731752
105,0.068781496
106,-0.027614365
107,0.160978301
108,-0.205748723
109,0.097628191
110,NA
111,NA
112,0.030853108
113,-0.141917768
114,0.142371087
115,-0.034815595
116,-0.057040866
117,NA
118,NA
119,0.062591439
120,0.173746907
121,-0.072233652
122,NA
123,-0.117602211
124,-0.009136134
125,-0.054655052
126,-0.181704373
127,NA
128,0.142103433
129,NA
130,NA
131,0
132,-0.018199599
134,0.015666277
135,0.133155484
136,0.152696763
137,NA
138,-0.07017556
139,-0.104905493
140,NA
141,NA
142,0.032015369
143,-0.059215819
144,-0.143253968
145,0.2227476
146,-0.009180414
147,-0.266659418
148,0.088454313
149,0.077137305
150,-0.216134157
151,NA
152,NA
153,0.110479193
154,-0.274703715
155,NA
156,0.226643407
157,-0.006596376
158,NA
159,NA
160,-0.101251592
161,0.162206721
162,0.065238365
163,NA
164,0.125242365
165,NA
166,0.135160085
167,NA
168,NA
169,NA
170,-0.155318466
171,NA
172,NA
173,NA
174,0.160524661
175,NA
176,0.136793919
177,NA
178,0.106426622
179,NA
180,0.144066226
181,NA
182,NA
183,NA
184,NA
185,0.093623805
186,0.066635649
187,-0.051745509
188,0.060260094
189,0.144570863
190,0.073603442
191,-0.066890185
192,NA
193,0.166831951
194,-0.12612013
195,0.027993638
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.086868294
202,-0.079043646
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
