id,change_DG_Coins_Given
1,1
2,-1
3,0
4,0
5,1
6,0
7,0
8,-2
9,0
10,NA
11,NA
12,-2
13,-2
14,0
15,-1
16,1
17,-1
18,2
19,2
20,2
21,-1
22,0
23,NA
24,NA
25,1
26,NA
27,0
28,NA
29,-1
30,1
31,-2
32,0
33,0
34,2
35,3
36,1
37,NA
38,1
39,0
40,2
41,0
42,NA
43,NA
44,NA
45,-1
46,0
47,0
48,1
49,NA
50,2
51,NA
52,-1
53,0
54,0
55,-2
56,-1
57,0
58,2
59,0
60,NA
61,1
62,NA
65,1
66,-2
67,-2
68,0
69,NA
70,NA
71,0
72,-3
73,0
74,0
75,NA
76,NA
77,NA
78,1
79,0
80,2
81,-1
82,1
83,-1
84,NA
85,1
86,0
87,NA
88,0
89,NA
90,-1
91,-1
92,2
93,1
94,-1
95,0
96,3
97,-2
98,0
99,1
100,0
101,2
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,-2
110,0
111,NA
112,-3
113,-1
114,-1
115,NA
116,NA
117,NA
118,2
119,1
120,-1
121,0
122,1
123,-3
124,-4
125,1
126,1
127,1
128,-1
129,0
130,1
131,0
132,0
134,2
135,-2
136,NA
137,-2
138,1
139,NA
140,NA
141,1
142,0
143,NA
144,NA
145,NA
146,NA
147,1
148,2
149,1
150,-1
151,NA
152,-3
153,NA
154,1
155,NA
156,1
157,0
158,NA
159,NA
160,1
161,1
162,NA
163,NA
164,-1
165,0
166,0
167,NA
168,NA
169,NA
170,-2
171,0
172,-2
173,NA
174,0
175,NA
176,0
177,0
178,1
179,0
180,0
181,NA
182,1
183,-2
184,1
185,-1
186,-3
187,-2
188,0
189,0
190,-1
191,-1
192,NA
193,NA
194,NA
195,NA
196,3
197,2
198,1
199,0
200,NA
201,0
202,NA
203,1
204,0
205,NA
206,NA
207,NA
208,-3
209,0
210,1
211,NA
212,NA
213,-1
214,0
215,NA
216,NA
217,3
218,NA
219,NA
220,NA
221,0
222,NA
223,0
224,NA
225,NA
226,-1
227,NA
228,0
229,NA
230,NA
231,NA
232,1
233,-1
234,NA
235,NA
237,3
238,0
246,NA
247,-1
250,0
251,-1
252,-1
255,NA
256,NA
258,NA
259,NA
260,1
261,0
262,2
263,NA
265,NA
