id,change_DG_UG_Diff
1,-1
2,0
3,0
4,-1
5,-1
6,0
7,0
8,2
9,0
10,NA
11,NA
12,2
13,0
14,0
15,1
16,-1
17,1
18,0
19,-1
20,-1
21,1
22,0
23,NA
24,NA
25,-1
26,NA
27,0
28,NA
29,0
30,-1
31,1
32,0
33,0
34,-1
35,-3
36,-1
37,NA
38,-2
39,0
40,-1
41,0
42,NA
43,NA
44,NA
45,1
46,0
47,0
48,-1
49,NA
50,-2
51,NA
52,0
53,0
54,0
55,0
56,1
57,1
58,-2
59,0
60,NA
61,-1
62,NA
65,1
66,2
67,3
68,0
69,NA
70,NA
71,0
72,3
73,0
74,0
75,NA
76,NA
77,NA
78,-2
79,1
80,-3
81,3
82,-1
83,1
84,NA
85,-2
86,0
87,NA
88,-1
89,NA
90,1
91,1
92,-3
93,-1
94,1
95,-3
96,-2
97,2
98,-1
99,-1
100,-2
101,-2
102,-1
103,0
104,0
105,-1
106,-1
107,-1
108,-1
109,2
110,0
111,NA
112,2
113,1
114,2
115,NA
116,NA
117,NA
118,-2
119,0
120,0
121,0
122,1
123,2
124,5
125,-1
126,-1
127,0
128,0
129,0
130,-2
131,0
132,1
134,-4
135,0
136,NA
137,3
138,-2
139,NA
140,NA
141,1
142,0
143,NA
144,NA
145,NA
146,NA
147,-1
148,-2
149,-1
150,1
151,NA
152,3
153,NA
154,-1
155,NA
156,0
157,-4
158,NA
159,NA
160,-1
161,0
162,NA
163,NA
164,1
165,-2
166,0
167,NA
168,NA
169,NA
170,0
171,0
172,2
173,NA
174,-1
175,NA
176,0
177,-1
178,-2
179,0
180,-1
181,NA
182,-1
183,2
184,-1
185,1
186,3
187,3
188,0
189,1
190,2
191,1
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,0
202,NA
203,NA
204,-2
205,NA
206,NA
207,NA
208,1
209,-1
210,NA
211,NA
212,NA
213,1
214,0
215,NA
216,NA
217,-2
218,NA
219,NA
220,NA
221,0
222,NA
223,NA
224,NA
225,NA
226,-2
227,NA
228,-1
229,NA
230,NA
231,NA
232,NA
233,2
234,NA
235,NA
237,-4
238,2
246,NA
247,-1
250,0
251,2
252,2
255,NA
256,NA
258,NA
259,NA
260,-1
261,-1
262,NA
263,NA
265,NA
