id,change_EFRTFACTOR
1,7.108742666
2,0.139594638
3,-2.72768567
4,0.364307961
5,1.710721744
6,-8.652898214
7,0.986647278
8,0.961117905
9,3.16300931
10,-5.245037347
11,2.976768216
12,0.469585471
13,-3.65412669
14,2.976287166
15,0.387633672
16,-2.247138712
17,6.175363382
18,7.075500567
19,-5.312007708
20,1.487139484
21,4.254388093
22,-8.278117181
23,7.3113577
24,0.617297007
25,2.507916038
26,6.85733295
27,2.29195358
28,-0.816624734
29,-0.707837363
30,-3.229815864
31,-2.763292334
32,-2.104066926
33,-2.707518731
34,4.469224558
35,-2.299367254
36,0.688632669
37,-5.100903666
38,-7.218150005
39,1.765190205
40,-0.089419734
41,0.758267472
42,2.2538547
43,-1.552387013
44,-4.93889271
45,-1.742740888
46,4.032840456
47,1.547745188
48,-0.631917546
49,-3.791524855
50,-3.715495121
51,-8.59355586
52,-0.065101608
53,3.405386701
54,-4.597879693
55,-2.318047289
56,-5.799800479
57,-3.210034959
58,-0.518107939
59,-0.057085647
60,-3.245020135
61,0.659421602
62,2.733549757
65,1.935354272
66,5.912430644
67,-0.068060974
68,-0.481287614
69,3.127033009
70,-4.195834902
71,-0.328581744
72,-7.709254945
73,-6.712022474
74,2.900943625
75,3.224725224
76,-0.295140372
77,0.984760608
78,3.308388587
79,-11.14590383
80,0.472435185
81,-4.86948205
82,-1.278189967
83,-2.973699385
84,-1.726224261
85,-2.593327224
86,-6.532989206
87,NA
88,-10.51013268
89,NA
90,-6.75945716
91,-0.919069054
92,-1.716216648
93,-0.108133795
94,-3.033133825
95,1.545729152
96,-0.782159809
97,-5.604882821
98,0.205911862
99,-13.17631602
100,3.670785574
101,-0.10360033
102,-0.122605183
103,-0.291374478
104,-0.06187807
105,0.051953606
106,2.089159145
107,10.15527008
108,4.7044081
109,1.350072857
110,0.886904069
111,0.828940361
112,-0.880231765
113,-1.226526721
114,5.307944408
115,-1.974741722
116,5.088908086
117,7.019738385
118,0.543147854
119,-0.751235643
120,4.837489088
121,2.516897581
122,2.170919219
123,2.128924583
124,8.250517479
125,2.422749939
126,-7.120082447
127,-4.530756147
128,1.132133062
129,2.768866086
130,1.204032011
131,-4.89084402
132,-3.287145608
134,-6.339192619
135,-1.186771012
136,5.726801874
137,-5.306428818
138,1.418757405
139,0.525938171
140,-3.578752388
141,3.511810254
142,-1.392642658
143,6.497959606
144,-2.034371642
145,-3.736839052
146,0.867317391
147,2.282755021
148,1.141653291
149,2.917527443
150,2.40490581
151,-1.640866138
152,5.471555268
153,2.119145768
154,0.512422254
155,NA
156,3.165670636
157,-4.019460005
158,NA
159,-3.906601579
160,12.08526229
161,5.190691207
162,5.863091152
163,-0.034557306
164,4.847333461
165,-1.705146535
166,0.762988868
167,4.871182981
168,NA
169,NA
170,1.28705972
171,2.333008247
172,2.07249726
173,NA
174,2.725723534
175,NA
176,-2.113141929
177,6.191322061
178,-6.403529999
179,-3.701729232
180,-0.720795138
181,NA
182,0.887798102
183,-9.817329991
184,2.017657004
185,5.453044944
186,6.278097587
187,-8.619770061
188,0.155778444
189,-1.201804632
190,-8.898512504
191,6.503531021
192,NA
193,-4.634806135
194,-10.73298062
195,1.508963004
196,NA
197,NA
198,NA
199,NA
200,NA
201,1.777307376
202,10.41187792
203,NA
204,1.732955801
205,NA
206,NA
207,NA
208,10.70163509
209,-0.354276189
210,NA
211,NA
212,NA
213,20.01596567
214,-11.29827429
215,NA
216,NA
217,0.35994638
218,NA
219,NA
220,NA
221,6.038983229
222,1.808880151
223,NA
224,NA
225,NA
226,-2.220271789
227,NA
228,-1.517321256
229,NA
230,NA
231,NA
232,NA
233,0.201277192
234,NA
235,NA
237,-2.142408302
238,-1.972870743
246,-7.84696496
247,-2.865809134
250,3.702229051
251,2.563856814
252,-7.052663998
255,-4.180010259
256,NA
258,NA
259,NA
260,6.912715657
261,5.438811619
262,NA
263,NA
265,NA
