id,change_EF_I_error
1,0.199526617
2,-0.208431207
3,-0.143878336
4,-0.05966278
5,-0.068814149
6,-0.092865261
7,0.043393182
8,0.133771266
9,0.198152638
10,-0.231113163
11,0.078361727
12,0.058495338
13,-0.098490663
14,0.143611006
15,0.204595329
16,0.093022246
17,0.10814114
18,-0.317980311
19,0.04341896
20,0.272042498
21,-0.020947167
22,-0.108600073
23,0.29457163
24,-0.104955963
25,0.302162697
26,0.000210753
27,0.015767806
28,-0.078441675
29,0.031151078
30,0.007237476
31,0.075712849
32,-0.046589337
33,-0.167267524
34,0.133687893
35,0.032371714
36,0.00592268
37,-0.026286324
38,-0.235137042
39,-0.138093508
40,-0.023919902
41,0.205818417
42,-0.148129263
43,0.174370321
44,-0.347797015
45,0.02912531
46,0.250733321
47,-0.175612529
48,0.02990884
49,-0.215316788
50,-0.225928133
51,0.315829354
52,0.124297882
53,-0.100972936
54,-0.110952771
55,-0.193638913
56,-0.140423109
57,0.016818546
58,0.002931095
59,-0.099156965
60,0.035221208
61,0.09036888
62,0.160351633
65,0.152251808
66,0.154036419
67,0.069546205
68,-0.127636917
69,0.225228538
70,-0.073708127
71,-0.001770474
72,-0.014051723
73,-0.160686076
74,0.031061159
75,0.065352225
76,0.282998277
77,-0.05481842
78,0.260260691
79,-0.092796906
80,-0.030744412
81,-0.063068488
82,-0.036223001
83,-0.248544681
84,-0.169157238
85,-0.069961337
86,-0.107379299
87,NA
88,0.051368717
89,NA
90,0.004242239
91,-0.021805696
92,0.175845831
93,-0.118026135
94,0.052449457
95,0.147343391
96,0.005903029
97,-0.030164108
98,-0.081142721
99,-0.189774138
100,0.050526121
101,0.096800792
102,-0.014240554
103,-0.028075377
104,-0.15411432
105,-0.068627191
106,0.034923443
107,0.209679445
108,-0.037790662
109,-0.166581019
110,0.121681831
111,-0.000976588
112,0.258851833
113,0.080886658
114,-0.031692558
115,0.022789303
116,0.09784903
117,0.10674366
118,-0.124785234
119,0.193698379
120,0.032706396
121,-0.008932537
122,-0.008361934
123,-0.198360896
124,-0.008466083
125,0.077206122
126,0.182847076
127,0.012399709
128,-0.248057097
129,0.191149011
130,-0.013017302
131,-0.030951135
132,-0.165864262
134,0.005865363
135,-0.070023773
136,0.109013465
137,0.160828332
138,-0.094162475
139,0.2560189
140,0.10606578
141,-0.083427354
142,0.0036614
143,-0.23572258
144,-0.071418171
145,-0.059601789
146,-0.228795836
147,0.024304691
148,0.178131632
149,-0.036805089
150,0.047663973
151,0.08486502
152,0.018872629
153,0.105163509
154,0.14416802
155,NA
156,-0.026513123
157,-0.233435827
158,NA
159,-0.401770882
160,-0.049788741
161,0.049857091
162,-0.418614692
163,0.016719673
164,-0.034113332
165,-0.090703115
166,-0.060178013
167,-0.170692497
168,NA
169,NA
170,0.008973744
171,0.02231455
172,0.031255625
173,NA
174,0.011373259
175,NA
176,-0.013786035
177,-0.000851785
178,0.018768745
179,-0.193523546
180,0.031789212
181,NA
182,0.043454306
183,-0.009135383
184,-0.188969299
185,0.152639711
186,0.11316091
187,-0.133298351
188,-0.271358604
189,-0.026580906
190,0.023738758
191,0.022554559
192,NA
193,-0.2417745
194,-0.12212473
195,-0.124285612
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.202747017
202,-0.003232284
203,NA
204,-0.088164052
205,NA
206,NA
207,NA
208,0.238136124
209,-0.208809787
210,NA
211,NA
212,NA
213,0.024001581
214,-0.175644667
215,NA
216,NA
217,0.255461438
218,NA
219,NA
220,NA
221,0.141038889
222,-0.147297857
223,NA
224,NA
225,NA
226,0.051921482
227,NA
228,0.174960337
229,NA
230,NA
231,NA
232,NA
233,0.027916826
234,NA
235,NA
237,-0.202728592
238,0.008536398
246,0.242030985
247,0.162474792
250,0.090988481
251,0.019846015
252,-0.224523876
255,0.251992371
256,NA
258,NA
259,NA
260,0.079670711
261,0.148884393
262,NA
263,NA
265,NA
