id,change_EF_M_error
1,-0.064209359
2,0.005211203
3,0.016167427
4,-0.001386145
5,-0.010896507
6,-0.048059081
7,-0.016007019
8,-0.017834119
9,-0.023024703
10,0.093343379
11,0.034549139
12,0.023258176
13,-0.044723641
14,0.008211192
15,0.001337006
16,-0.013956259
17,0.004971021
18,0.094493161
19,-0.028461291
20,-0.048137349
21,-0.002496449
22,-0.003974105
23,0.006797656
24,-0.006283169
25,-0.110668332
26,-0.027553471
27,0.040466802
28,0.074910051
29,-0.009672628
30,0.01182074
31,0.012373388
32,-0.046539596
33,-0.010963254
34,-0.028080007
35,-0.031991793
36,-0.005327518
37,-0.009957081
38,0.005708486
39,0.032950617
40,0.00746244
41,-0.003323771
42,0.055387286
43,-0.099749116
44,0.079447711
45,-0.000669098
46,-0.083721674
47,0.036612129
48,0.027946143
49,0.020291282
50,0.038117526
51,-0.084790871
52,-0.011693937
53,-0.015593999
54,0.012471814
55,0.050060332
56,-0.015285048
57,0.019063734
58,-0.006393152
59,0.028740978
60,-0.034294929
61,-0.019226626
62,-0.012905693
65,-0.036263857
66,-0.009906629
67,0.029158705
68,0.015596533
69,-0.049119201
70,0.052905772
71,0.010424717
72,-0.000608423
73,0.028719167
74,-0.012381849
75,-0.017398985
76,-0.096405088
77,0.067622029
78,0.011415853
79,-0.037602777
80,0.000734895
81,-0.007139347
82,-0.013556121
83,-0.0079868
84,0.057108594
85,-0.008870086
86,-0.002849462
87,NA
88,-0.028847362
89,NA
90,0.007179781
91,0.014683684
92,0.024098912
93,0.038284094
94,-0.004942229
95,-0.016316712
96,-0.030030441
97,0.004498118
98,0.017338238
99,-0.000262623
100,-0.043659933
101,-0.031114876
102,0.009386337
103,0.020437608
104,-0.022757644
105,0.03039113
106,0.017131561
107,-0.025599539
108,-0.025820476
109,0.033007028
110,-0.013219718
111,0.01313122
112,-0.033716751
113,0.001491241
114,0.024599594
115,0.038937914
116,0.02002038
117,0.055992518
118,-0.003750115
119,-0.014375901
120,-0.003135528
121,0.000611261
122,0.035537434
123,0.039683375
124,-0.030502304
125,-0.018877128
126,-0.060379956
127,-0.024279166
128,0.025791434
129,-0.037170137
130,-0.002113343
131,0.016605137
132,-0.026292373
134,-0.004066313
135,0.084794209
136,-0.055485538
137,-0.019655195
138,0.026456771
139,-0.068132674
140,-0.024835852
141,0.005205927
142,0.009857776
143,0.041997823
144,-0.029289767
145,0.017049584
146,0.02926041
147,0.02368691
148,-0.077337291
149,-0.003231082
150,-0.026027116
151,-0.016475402
152,0.014961537
153,0.050845323
154,-0.071611869
155,NA
156,0.024927127
157,0.025446125
158,NA
159,0.10898633
160,-0.044147672
161,0.003685091
162,0.088493003
163,-0.013117263
164,0.0333551
165,0.044848439
166,0.029099555
167,0.091009749
168,NA
169,NA
170,-0.023752094
171,0.006292719
172,-0.037215981
173,NA
174,0.005341101
175,NA
176,-0.051940072
177,0.001301037
178,-0.056051109
179,0.013636889
180,0.06215241
181,NA
182,0.004709818
183,-0.014544502
184,0.083362325
185,-0.047315376
186,0.012119205
187,0.0173605
188,0.067388953
189,0.017611631
190,0.038074375
191,0.014629877
192,NA
193,0.001628661
194,-0.033190343
195,-0.002676033
196,NA
197,NA
198,NA
199,NA
200,NA
201,-0.041181738
202,0.025775574
203,NA
204,0.070787334
205,NA
206,NA
207,NA
208,-0.056861153
209,0.001476578
210,NA
211,NA
212,NA
213,0.036004392
214,0.044074098
215,NA
216,NA
217,-0.019759815
218,NA
219,NA
220,NA
221,-0.01341676
222,0.030424303
223,NA
224,NA
225,NA
226,-0.017007469
227,NA
228,-0.063597214
229,NA
230,NA
231,NA
232,NA
233,0.024700647
234,NA
235,NA
237,0.090628109
238,-3.48E-06
246,-0.091217188
247,0.002457271
250,-0.054183746
251,-0.024536412
252,0.072983655
255,-0.071000672
256,NA
258,NA
259,NA
260,-0.035480633
261,0.011373158
262,NA
263,NA
265,NA
