id,change_HavardOxford_Cortl
1,0.734730271
2,0.679571581
3,-0.244639186
4,-0.279010658
5,NA
6,1.424137179
7,NA
8,1.691294845
9,1.143366424
10,NA
11,NA
12,2.598505664
13,0.037170598
14,2.53815285
15,0.980038239
16,2.022195867
17,2.817119029
18,NA
19,-2.56664237
20,1.39993919
21,-0.942686726
22,-2.132084987
23,NA
24,NA
25,NA
26,NA
27,1.072779392
28,2.223264956
29,-2.271792156
30,2.465413619
31,-0.750312024
32,1.405059052
33,-3.880912073
34,-4.693945922
35,NA
36,-1.23057269
37,NA
38,-1.360424877
39,-2.19857953
40,-2.032761093
41,-0.391950827
42,-0.099163229
43,-1.406923792
44,NA
45,-3.719407411
46,-2.787828948
47,1.192801233
48,0.079128298
49,1.71720996
50,3.109672002
51,-1.519221387
52,NA
53,0.699057756
54,-4.423383501
55,-0.140836004
56,0.344974086
57,2.20092784
58,2.198082709
59,-1.263342458
60,-1.083580648
61,3.884725329
62,-3.834823733
65,-7.617457143
66,3.778606416
67,-2.482838534
68,-5.132677856
69,NA
70,NA
71,NA
72,-2.045104503
73,-4.411213055
74,3.229384124
75,3.440901935
76,NA
77,NA
78,2.033642171
79,2.366765516
80,-1.333628435
81,0.275519124
82,NA
83,-4.283998454
84,NA
85,-1.53198196
86,-2.226243582
87,NA
88,-2.656355241
89,NA
90,-0.08814008
91,-0.149235401
92,0.039923897
93,-1.83744761
94,-2.244619155
95,NA
96,-0.662588343
97,1.48418735
98,-7.388553509
99,-0.997511981
100,NA
101,-2.0384488
102,NA
103,-1.70137837
104,-5.871257202
105,-0.966541206
106,-0.813934675
107,1.375809176
108,4.007305088
109,5.309485088
110,NA
111,NA
112,1.451630859
113,-4.17634756
114,-3.269968819
115,-0.592612168
116,4.595162854
117,NA
118,NA
119,-1.982415613
120,7.615461767
121,0.548416395
122,NA
123,1.132729519
124,-2.366765516
125,2.19328018
126,1.956940819
127,NA
128,NA
129,NA
130,NA
131,1.910172121
132,-0.103752597
134,4.565396421
135,-1.93307692
136,-0.604650766
137,NA
138,-0.666760685
139,0.714528711
140,NA
141,NA
142,-0.460213703
143,2.950669149
144,0.678415321
145,2.5876506
146,0.12431234
147,3.027069324
148,-7.388553509
149,0.013988695
150,-0.349369672
151,NA
152,NA
153,-0.623236073
154,4.325015182
155,NA
156,-0.547412085
157,-0.995455027
158,NA
159,NA
160,-3.660624434
161,2.077374045
162,-4.665802168
163,NA
164,-0.732696013
165,NA
166,1.164160612
167,NA
168,NA
169,NA
170,-3.083133826
171,NA
172,NA
173,NA
174,-0.624112287
175,NA
176,-0.370853931
177,NA
178,4.728447694
179,NA
180,0.742351236
181,NA
182,NA
183,NA
184,NA
185,-4.007305088
186,1.949210973
187,-0.181517849
188,-4.147194364
189,-2.582766083
190,-1.667768172
191,6.474090719
192,NA
193,2.185512627
194,-4.74465429
195,0.431444913
196,NA
197,NA
198,NA
199,NA
200,NA
201,-2.577665519
202,-1.321927435
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
