id,change_REzssrtnr_t
1,0.65062855
2,-1.05847249
3,-0.56503439
4,-0.858032867
5,2.85136968
6,-3.3022853
7,-0.60018763
8,0.57500722
9,1.1640686
10,0.824958739
11,1.7376525
12,-0.96370184
13,-1.01084219
14,1.75771582
15,0.908315798
16,-1.54079807
17,-0.965983694
18,1.22268467
19,0.73322855
20,-0.492170428
21,-0.17468643
22,-0.21532512
23,-1.39934849
24,-0.0518006
25,0.45709988
26,1.30215836
27,-1.31412101
28,-3.3413849
29,0.54990777
30,1.52502508
31,-0.00185433
32,-0.18942029
33,-1.62018854
34,-0.00327128
35,-0.07548921
36,1.164493
37,-0.2516312
38,-0.9752901
39,1.36775609
40,1.19202128
41,-0.70073781
42,0.27661921
43,-0.17534494
44,-0.60961444
45,-2.3314131
46,2.20953925
47,1.2956504
48,-1.7460424
49,1.94256596
50,1.07434823
51,0.7160732
52,1.55713865
53,-0.56647479
54,-0.2021806
55,-3.3110951
56,2.135851604
57,1.61532611
58,-1.46740668
59,1.75788636
60,0
61,0.84068146
62,0.56337407
65,-0.127556812
66,-0.39328908
67,-0.9762915
68,-0.71776465
69,1.27563206
70,0.6886372
71,2.17157067
72,0.25517958
73,-0.50463248
74,-0.3742994
75,-1.45247076
76,0.6069971
77,2.5588736
78,1.78586662
79,-0.3985464
80,-0.2462658
81,-0.56684573
82,0.03992545
83,-1.15890095
84,1.25687402
85,0.86887941
86,1.4988517
87,NA
88,-0.63624031
89,NA
90,-1.07452333
91,0.83399124
92,-3.18738052
93,-0.31319433
94,0.83070411
95,-0.65479315
96,-0.753305893
97,-1.250012912
98,-0.7122027
99,1.11608639
100,0.07968312
101,1.62498082
102,-2.6886361
103,-0.17813879
104,-0.83890463
105,-0.95958023
106,1.53980606
107,0.25442702
108,-1.85499304
109,-0.508604912
110,-2.4836787
111,1.34286058
112,0.8693085
113,-1.92115727
114,-1.88280449
115,0.30868077
116,1.52656198
117,-0.48372416
118,-0.078598692
119,1.6525198
120,1.22003639
121,1.23563659
122,-0.65331073
123,1.35182856
124,-0.0378838
125,1.12784152
126,0.15015792
127,-0.98341003
128,0.0447109
129,-0.963187951
130,3.7251478
131,1.48436103
132,-1.89788635
134,0.08325676
135,1.78667214
136,2.19897622
137,-0.897351809
138,-2.08057075
139,0.54629411
140,3.0739542
141,0.0229309
142,-2.14990984
143,-1.14212575
144,0.31103831
145,-0.1656301
146,-1.06518094
147,0.04882359
148,-0.613700469
149,-1.61323486
150,0.476263794
151,0.604808709
152,-3.9205806
153,-0.784652471
154,-1.61332029
155,NA
156,0.84530864
157,-0.582068
158,NA
159,-0.656847273
160,1.89474916
161,-1.42684068
162,1.30288962
163,-1.7194218
164,2.76950797
165,1.00357684
166,1.04545599
167,-1.61603072
168,NA
169,NA
170,-0.08276376
171,-1.187951198
172,0.0091681
173,1.84116874
174,0.51602124
175,NA
176,1.96020974
177,2.00681946
178,-0.52078211
179,1.79283901
180,-1.216168054
181,NA
182,-1.82676766
183,1.113307398
184,0.42609027
185,-0.3164534
186,0.90840163
187,-0.79237185
188,-0.47577855
189,1.62534212
190,-1.28266464
191,0.79912382
192,NA
193,1.98089598
194,-0.1188257
195,-0.65215055
196,-2.01117149
197,1.02600083
198,NA
199,0.0689733
200,NA
201,-2.407883556
202,0.18842879
203,0.60392362
204,-0.32073179
205,NA
206,NA
207,NA
208,-0.35597431
209,-0.60173905
210,NA
211,NA
212,NA
213,-2.90948845
214,1.67643929
215,NA
216,NA
217,-0.07761097
218,NA
219,NA
220,NA
221,-1.20946695
222,2.07468264
223,-0.8296507
224,NA
225,NA
226,-0.223708615
227,NA
228,1.35963522
229,NA
230,NA
231,NA
232,2.16102495
233,-0.42187931
234,NA
235,NA
237,-1.4569287
238,-0.20315796
246,0.20747381
247,-0.0221148
250,2.00032469
251,-0.01708609
252,1.33165118
255,-0.60770127
256,NA
258,NA
259,NA
260,0.95121782
261,-1.30558421
262,NA
263,NA
265,NA
