id,change_Rcaud.frontal_FA
1,-0.019409
2,-0.056678
3,-0.003275
4,-0.002387
5,NA
6,0.045812
7,NA
8,0.004796
9,0.040589
10,NA
11,NA
12,0.033158
13,-0.044718
14,0.019964
15,-0.024445
16,-0.004259
17,-0.025322
18,NA
19,0.080594
20,0.035487
21,0.012209
22,0.004727
23,NA
24,NA
25,NA
26,NA
27,0.016274
28,0.011527
29,0.002285
30,-0.030703
31,0.008412
32,-0.025774
33,0.01356
34,0.00177
35,NA
36,-0.000458
37,NA
38,0.031803
39,0.016107
40,-0.039719
41,-0.026117
42,0.013805
43,-0.007725
44,NA
45,0.022171
46,0.024927
47,-0.003011
48,-0.009573
49,0.062616
50,0.002638
51,-0.024485
52,NA
53,-0.007252
54,-0.028182
55,-0.002081
56,-0.05727
57,0.030045
58,-0.008723
59,-0.014009
60,-0.036089
61,0.050607
62,0.016157
65,-0.010344
66,0.001506
67,0.050811
68,-0.026891
69,NA
70,NA
71,NA
72,-0.034745
73,0.036366
74,-0.051724
75,-0.034782
76,NA
77,NA
78,-0.028961
79,-0.033653
80,-0.013734
81,0.036235
82,NA
83,-0.037553
84,NA
85,-0.017512
86,-0.016466
87,NA
88,-0.02143
89,NA
90,-0.052934
91,-0.01228
92,-0.045453
93,0.00317
94,-0.014909
95,NA
96,-0.044139
97,0.018112
98,-0.033359
99,0.026
100,NA
101,0.022023
102,NA
103,-0.044949
104,0.007655
105,0.005761
106,-0.07093
107,0.005778
108,-0.035199
109,0.013629
110,NA
111,NA
112,-0.034107
113,-0.040449
114,-0.035082
115,-0.046376
116,0.025067
117,NA
118,NA
119,0.049833
120,-0.000989
121,0.01518
122,NA
123,0.049396
124,0.047375
125,-0.032167
126,0.003577
127,NA
128,-0.016179
129,NA
130,NA
131,0.036987
132,0.011135
134,-0.011939
135,-0.037496
136,-0.021043
137,NA
138,-0.014492
139,0.028942
140,NA
141,NA
142,-0.009554
143,-0.068306
144,0.000899
145,-0.07223
146,-0.01586
147,-0.009767
148,-0.037805
149,-0.05621
150,-0.02661
151,NA
152,NA
153,0.020664
154,0.016016
155,NA
156,-0.02938
157,0.010134
158,NA
159,NA
160,-0.008436
161,-0.005004
162,-0.042311
163,NA
164,0.030121
165,NA
166,-0.027728
167,NA
168,NA
169,NA
170,-0.023151
171,NA
172,NA
173,NA
174,0.044959
175,NA
176,-0.036409
177,NA
178,0.022871
179,NA
180,-0.02633
181,NA
182,NA
183,NA
184,NA
185,0.0124
186,-0.014035
187,-0.054571
188,0.022348
189,-0.056071
190,0.061674
191,-0.020962
192,NA
193,0.061455
194,-0.050531
195,0.042327
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.017152
202,0.010824
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
