id,change_Rcaud.frontal_MD
1,-2.10E-05
2,0.000033
3,-0.000055
4,6.00E-06
5,NA
6,0.000051
7,NA
8,0.000103
9,4.00E-06
10,NA
11,NA
12,-0.000083
13,-0.000044
14,-6.00E-06
15,0.000053
16,-0.000036
17,0.000021
18,NA
19,0.000018
20,-0.000049
21,-0.000018
22,-0.000026
23,NA
24,NA
25,NA
26,NA
27,-1.10E-05
28,-8.00E-06
29,-2.30E-05
30,0.000041
31,-6.80E-05
32,-0.00003018
33,-0.000018
34,0.000043
35,NA
36,0.000049
37,NA
38,-0.000041
39,-0.000026
40,0.000041
41,-2.20E-05
42,0.000015
43,-0.000065
44,NA
45,2.00E-05
46,-0.00010628
47,1.20E-05
48,-0.000009
49,-0.000012
50,-0.000031
51,-0.000052
52,NA
53,-0.000018
54,-0.000044
55,-0.00005
56,-0.000065
57,-9.50E-05
58,7.60E-05
59,7.52E-06
60,-8.00E-06
61,-0.000018
62,6.00E-06
65,0.000016
66,6.00E-06
67,-1.10E-05
68,1.64E-05
69,NA
70,NA
71,NA
72,0.000027
73,-5.00E-06
74,0.000043
75,0.000056
76,NA
77,NA
78,-0.000031
79,0.000074
80,-0.000014
81,0.000018
82,NA
83,0.000048
84,NA
85,0.00004
86,-0.000018
87,NA
88,0.00006835
89,NA
90,-1.20E-05
91,0.000025
92,0.000017
93,0.000057
94,0.000044
95,NA
96,0.000048
97,-0.000012
98,-0.000074
99,3.80E-05
100,NA
101,0
102,NA
103,-0.000009
104,-0.000049
105,0.000026
106,-5.10E-05
107,-0.000049
108,-0.00001
109,8.00E-06
110,NA
111,NA
112,-0.00010581
113,-3.50E-05
114,0.000018
115,0.000061
116,-0.000065
117,NA
118,NA
119,0.000019
120,-1.00E-06
121,-6.00E-06
122,NA
123,0.000133
124,-0.000056
125,-9.84E-05
126,0.000036
127,NA
128,0.000009
129,NA
130,NA
131,-0.00004
132,0.000034
134,-0.000048
135,0.000061
136,-0.00011825
137,NA
138,0.000097
139,0.000061
140,NA
141,NA
142,-1.00E-05
143,-0.00012076
144,-0.00010255
145,-0.00011919
146,-0.000056
147,8.00E-06
148,-0.000061
149,-1.00E-06
150,-5.50E-05
151,NA
152,NA
153,-8.90E-05
154,6.00E-06
155,NA
156,-0.000009
157,-0.000013
158,NA
159,NA
160,7.80E-05
161,0.000015
162,6.00E-06
163,NA
164,-2.00E-05
165,NA
166,-2.00E-06
167,NA
168,NA
169,NA
170,-0.000036
171,NA
172,NA
173,NA
174,-0.000048
175,NA
176,-0.000036
177,NA
178,-0.0001055
179,NA
180,0
181,NA
182,NA
183,NA
184,NA
185,0.000012
186,-0.000034
187,-0.000097
188,-0.000034
189,-0.000061
190,-0.00013482
191,0.000033
192,NA
193,-4.70E-05
194,-0.000012
195,0.000017
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.000036
202,-0.000058
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
