id,change_Rputa.frontal_FA
1,-0.006398
2,0.020078
3,0.006011
4,0.0286
5,NA
6,0.006056
7,NA
8,-0.006642
9,-0.005193
10,NA
11,NA
12,-0.035282
13,-0.001284
14,-0.004032
15,-0.019876
16,0.047696
17,-0.056847
18,NA
19,0.001886
20,0.000661
21,-0.01766
22,0.006795
23,NA
24,NA
25,NA
26,NA
27,0.026673
28,-0.031172
29,0.000297
30,0.012072
31,-0.021657
32,0.00047
33,-0.002617
34,-0.013781
35,NA
36,-0.019174
37,NA
38,0.002634
39,0.020264
40,0.001619
41,-0.016538
42,-0.019519
43,-0.003681
44,NA
45,0.002514
46,-0.006504
47,-0.012502
48,0.007259
49,0.04987
50,-0.008523
51,0.018534
52,NA
53,-0.01925
54,-0.024581
55,-0.037788
56,0.024795
57,-0.020601
58,-0.043694
59,0.016055
60,0.067984
61,0.004605
62,-0.026508
65,-0.026424
66,-0.023082
67,0.012833
68,0.01431
69,NA
70,NA
71,NA
72,-0.046675
73,-0.015782
74,-0.007256
75,0.035052
76,NA
77,NA
78,0.013936
79,-0.006239
80,-0.007667
81,0.019571
82,NA
83,-0.03909
84,NA
85,0.048329
86,0.004488
87,NA
88,0.009407
89,NA
90,0.033558
91,0
92,-0.00261
93,0.007435
94,0.054685
95,NA
96,-0.022322
97,-0.011924
98,-0.010836
99,0.005302
100,NA
101,0.038089
102,NA
103,-0.003545
104,-0.059048
105,0.002299
106,0.005073
107,0.00417
108,0.028271
109,0.000375
110,NA
111,NA
112,0.018012
113,0.014248
114,0.01645
115,0.016007
116,0.027645
117,NA
118,NA
119,0.013595
120,-0.001826
121,0.045351
122,NA
123,0.001059
124,-0.052977
125,0.002014
126,-0.005595
127,NA
128,-0.021222
129,NA
130,NA
131,0.015312
132,-0.060151
134,0.000725
135,0.010018
136,-0.030959
137,NA
138,-0.045142
139,-0.040048
140,NA
141,NA
142,-0.015131
143,-0.005696
144,0.017913
145,0.060404
146,0.011924
147,-0.009424
148,-0.045331
149,0.030297
150,0.018513
151,NA
152,NA
153,0.032558
154,0.037675
155,NA
156,0.000934
157,-0.028337
158,NA
159,NA
160,-0.061171
161,-0.006291
162,-0.004273
163,NA
164,-0.041751
165,NA
166,0.049522
167,NA
168,NA
169,NA
170,0.019095
171,NA
172,NA
173,NA
174,0.032608
175,NA
176,0.05611
177,NA
178,0.050476
179,NA
180,0.039086
181,NA
182,NA
183,NA
184,NA
185,0.004846
186,0.011099
187,-0.001473
188,-0.003763
189,-0.011234
190,-0.035727
191,-0.047723
192,NA
193,-0.037553
194,-0.010703
195,0.00219
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.04849
202,0.020716
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
