id,change_UG_Offer_Accept
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,NA
11,NA
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,NA
24,NA
25,1
26,NA
27,1
28,NA
29,0
30,0
31,0
32,1
33,0
34,0
35,-1
36,0
37,NA
38,0
39,0
40,0
41,0
42,NA
43,NA
44,NA
45,0
46,0
47,0
48,0
49,NA
50,0
51,NA
52,1
53,1
54,-1
55,0
56,0
57,0
58,-1
59,0
60,NA
61,1
62,NA
65,0
66,0
67,0
68,-1
69,NA
70,NA
71,0
72,1
73,0
74,0
75,NA
76,NA
77,NA
78,0
79,0
80,1
81,-1
82,0
83,-1
84,NA
85,1
86,0
87,NA
88,0
89,NA
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,-1
102,0
103,0
104,-1
105,1
106,1
107,0
108,0
109,0
110,-1
111,NA
112,1
113,0
114,0
115,NA
116,NA
117,NA
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,0
134,1
135,0
136,NA
137,0
138,0
139,NA
140,NA
141,0
142,0
143,NA
144,NA
145,NA
146,NA
147,1
148,1
149,1
150,0
151,NA
152,0
153,NA
154,0
155,NA
156,0
157,0
158,NA
159,NA
160,1
161,0
162,NA
163,NA
164,1
165,1
166,0
167,NA
168,NA
169,NA
170,0
171,0
172,0
173,NA
174,1
175,NA
176,0
177,1
178,0
179,1
180,-1
181,NA
182,0
183,-1
184,0
185,0
186,0
187,0
188,0
189,-1
190,0
191,0
192,NA
193,NA
194,NA
195,NA
196,0
197,1
198,0
199,-1
200,NA
201,0
202,NA
203,1
204,0
205,NA
206,NA
207,NA
208,0
209,0
210,0
211,NA
212,NA
213,1
214,0
215,NA
216,NA
217,-1
218,NA
219,NA
220,NA
221,1
222,NA
223,0
224,NA
225,NA
226,0
227,NA
228,0
229,NA
230,NA
231,NA
232,0
233,-1
234,NA
235,NA
237,0
238,-1
246,NA
247,-1
250,1
251,0
252,-1
255,NA
256,NA
258,NA
259,NA
260,1
261,0
262,1
263,NA
265,NA
