id,change_cogflex_t
1,-0.39593385
2,-0.98403058
3,0.75833095
4,-1.098042271
5,0.827942
6,-0.14664585
7,-0.76641285
8,-1.45182101
9,0.68542874
10,-0.35234332
11,-0.58453619
12,0.7398122
13,0.30234518
14,0.740579549
15,0.73948141
16,0.44013299
17,0.075485587
18,-1.29512739
19,0.36311026
20,1.20655915
21,0.33191769
22,0.225744039
23,-0.82197279
24,-0.73385242
25,1.16471416
26,-0.52733302
27,0.83933078
28,-0.68181234
29,0.285139255
30,-0.361234721
31,-0.195366789
32,-1.090052863
33,0.18902895
34,-0.27295077
35,-1.31173029
36,0.55457104
37,-0.683822512
38,-1.04408162
39,1.15610069
40,0.285827321
41,0.66615807
42,0.76441473
43,1.74861133
44,-1.14822998
45,1.00716949
46,0.43709861
47,0.821259992
48,0.11738772
49,-1.9382087
50,-0.44049293
51,0.63999403
52,-0.129591778
53,-0.304751511
54,0.240813184
55,-0.773269156
56,-1.294224641
57,0.57972896
58,0.76621652
59,0.936539261
60,-0.61402684
61,0.026637368
62,0.50698736
65,0.32330975
66,0.98613538
67,0.41983084
68,-1.111651809
69,1.32631149
70,-0.75547486
71,-0.57757625
72,0.156495374
73,-0.527914408
74,1.25586796
75,-0.18026382
76,-0.60882701
77,-1.35585314
78,0.36513212
79,-1.0522654
80,-0.22952396
81,-0.06693792
82,-1.11644544
83,-1.64912832
84,-0.96839518
85,-0.98648447
86,-0.43556499
87,NA
88,0.19259
89,NA
90,0.33875119
91,0.83613676
92,0.387740229
93,0.07925124
94,0.458402067
95,1.89465184
96,0.401612
97,-0.18912304
98,-0.623809529
99,-0.200567823
100,-0.223133314
101,0.97027538
102,0.07316683
103,0.70134257
104,-0.90712744
105,-0.20684543
106,0.06630283
107,-0.2100142
108,-0.60768155
109,-0.92269927
110,0.54708015
111,0.98532471
112,0.28470849
113,1.32483003
114,-0.61488658
115,-0.42531522
116,-0.591926209
117,-0.67216766
118,-0.28801853
119,0.295750469
120,-0.14399263
121,0.86041381
122,0.07626769
123,-0.52653822
124,-0.718321438
125,0.66533649
126,-0.72858291
127,-0.25800374
128,0.86753993
129,-0.284814839
130,-0.793080901
131,0.57516935
132,-0.93523845
134,-1.69977419
135,1.000820946
136,-0.440331952
137,-0.329939096
138,-2.15491832
139,-0.193441626
140,0.26992515
141,-2.371061
142,-0.2085231
143,0.314526577
144,-0.736206773
145,0.74983099
146,-0.16369467
147,1.28752852
148,0.26643052
149,-0.412638946
150,0.6804626
151,-0.34661895
152,-0.3564462
153,0.39631807
154,-0.62071189
155,NA
156,-0.77626455
157,-0.885158157
158,NA
159,-0.80187419
160,-1.01699721
161,-0.55736375
162,-0.863729565
163,-0.6177221
164,0.06065518
165,-1.27933925
166,-0.788238456
167,-0.26569184
168,NA
169,NA
170,-0.72252424
171,0.757466499
172,0.65916767
173,0.72248662
174,0.31979091
175,NA
176,-0.90648813
177,0.04169029
178,0.991029745
179,-0.55153338
180,1.32153636
181,NA
182,0.23217746
183,-0.654431323
184,-0.58107733
185,0.46933168
186,-0.441777532
187,-1.39338166
188,-1.84653445
189,-1.49352671
190,1.65209414
191,0.069125514
192,NA
193,-0.48467379
194,-0.536400411
195,-1.194838959
196,NA
197,-0.235209643
198,0.33775938
199,0.72052198
200,NA
201,-0.84108758
202,0.45305883
203,NA
204,-0.23306471
205,NA
206,NA
207,NA
208,1.69778765
209,-0.736600704
210,0.106608828
211,NA
212,NA
213,0.41223139
214,0.87386382
215,NA
216,NA
217,-0.09844512
218,NA
219,NA
220,NA
221,0.45278315
222,0.15380529
223,NA
224,NA
225,NA
226,1.0645852
227,NA
228,0.29985344
229,NA
230,NA
231,NA
232,0.6834226
233,0.28204418
234,NA
235,NA
237,0.6009188
238,-0.09515614
246,0.723770199
247,-0.62612807
250,0.84687204
251,0.749657038
252,0.01590136
255,-0.66028341
256,NA
258,NA
259,NA
260,-0.2854065
261,1.55861765
262,1.34267801
263,NA
265,NA
