id,change_corsi_max_t
1,0
2,1
3,0
4,1
5,0
6,-1
7,0
8,1
9,0
10,1
11,1
12,1
13,-1
14,0
15,0
16,0
17,1
18,2
19,-1
20,-1
21,1
22,0
23,1
24,-3
25,-2
26,0
27,1
28,0
29,-1
30,0
31,-3
32,1
33,0
34,0
35,0
36,1
37,2
38,0
39,1
40,1
41,-1
42,3
43,0
44,1
45,0
46,-1
47,1
48,0
49,1
50,0
51,0
52,-1
53,0
54,0
55,2
56,-1
57,1
58,0
59,1
60,0
61,1
62,-1
65,0
66,-1
67,0
68,0
69,1
70,-1
71,-1
72,0
73,1
74,0
75,-1
76,-1
77,2
78,1
79,-1
80,0
81,0
82,2
83,0
84,2
85,1
86,-1
87,NA
88,-1
89,NA
90,2
91,1
92,1
93,2
94,0
95,0
96,0
97,2
98,0
99,0
100,0
101,-1
102,1
103,0
104,0
105,1
106,0
107,-1
108,0
109,1
110,1
111,1
112,0
113,0
114,0
115,-1
116,1
117,1
118,0
119,0
120,0
121,1
122,1
123,2
124,0
125,1
126,0
127,-1
128,-2
129,-1
130,1
131,0
132,-1
134,1
135,2
136,0
137,0
138,1
139,0
140,1
141,1
142,2
143,1
144,-2
145,2
146,1
147,1
148,0
149,1
150,0
151,2
152,0
153,0
154,0
155,NA
156,0
157,1
158,NA
159,2
160,0
161,0
162,2
163,-1
164,0
165,0
166,0
167,2
168,NA
169,NA
170,0
171,1
172,0
173,NA
174,0
175,NA
176,1
177,1
178,0
179,0
180,1
181,NA
182,1
183,0
184,2
185,-1
186,1
187,1
188,2
189,1
190,1
191,1
192,NA
193,-2
194,0
195,0
196,NA
197,NA
198,NA
199,NA
200,NA
201,1
202,-1
203,0
204,1
205,NA
206,NA
207,NA
208,0
209,0
210,NA
211,NA
212,NA
213,1
214,-1
215,NA
216,NA
217,-1
218,NA
219,NA
220,NA
221,-1
222,0
223,NA
224,NA
225,NA
226,1
227,NA
228,1
229,NA
230,NA
231,NA
232,NA
233,0
234,NA
235,NA
237,0
238,1
246,-2
247,0
250,0
251,-1
252,0
255,0
256,NA
258,NA
259,NA
260,-1
261,0
262,NA
263,NA
265,NA
