id,change_creativity
1,2
2,-18
3,15
4,-7
5,-3
6,1
7,-36
8,-8
9,-16
10,6
11,-6
12,29
13,-5
14,-21
15,-6
16,-7
17,-12
18,5
19,-11
20,-3
21,-7
22,-4
23,-15
24,-15
25,-21
26,-2
27,-6
28,-11
29,7
30,0
31,-19
32,-19
33,-11
34,-7
35,-4
36,-20
37,-10
38,-32
39,11
40,-7
41,0
42,-7
43,-7
44,6
45,-5
46,-25
47,-13
48,15
49,-24
50,6
51,-8
52,6
53,-2
54,-12
55,-5
56,-9
57,-10
58,-4
59,-6
60,-3
61,9
62,-19
65,-10
66,-5
67,2
68,-1
69,16
70,-14
71,-21
72,-10
73,-7
74,-8
75,-4
76,3
77,11
78,16
79,5
80,4
81,-6
82,-9
83,28
84,-15
85,-2
86,-10
87,NA
88,-8
89,NA
90,-13
91,-11
92,6
93,3
94,-8
95,-2
96,5
97,3
98,-2
99,-14
100,-4
101,0
102,-7
103,-8
104,-14
105,-6
106,-5
107,-12
108,-21
109,0
110,-10
111,-22
112,-8
113,-7
114,9
115,-3
116,-15
117,-10
118,-13
119,-11
120,-7
121,-4
122,-8
123,-16
124,-5
125,-7
126,-6
127,-24
128,NA
129,20
130,-11
131,-11
132,11
134,-8
135,-14
136,-3
137,-13
138,-15
139,-9
140,-1
141,-1
142,-8
143,-9
144,6
145,3
146,-9
147,6
148,6
149,3
150,-19
151,-19
152,-4
153,6
154,-7
155,NA
156,0
157,-20
158,NA
159,-20
160,-8
161,-15
162,8
163,-14
164,5
165,-1
166,1
167,-24
168,NA
169,NA
170,12
171,-12
172,-19
173,NA
174,-7
175,NA
176,5
177,-13
178,-22
179,-18
180,7
181,NA
182,5
183,-1
184,0
185,-16
186,-3
187,-5
188,-14
189,-16
190,-6
191,-17
192,NA
193,-13
194,-8
195,-6
196,NA
197,NA
198,NA
199,NA
200,NA
201,-10
202,-13
203,NA
204,-1
205,NA
206,NA
207,NA
208,-4
209,6
210,NA
211,NA
212,NA
213,14
214,-7
215,NA
216,NA
217,7
218,NA
219,NA
220,NA
221,17
222,5
223,NA
224,NA
225,NA
226,-18
227,NA
228,-4
229,NA
230,NA
231,NA
232,NA
233,-9
234,NA
235,NA
237,2
238,12
246,-12
247,5
250,2
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
