id,timepoint,prob_stopsig
1,0,0.52000001
1,1,0.59999999
2,0,0.56
2,1,0.48000002
3,0,0.59999999
3,1,0.56
4,0,0.53846154
4,1,0.56
5,0,0.59999999
5,1,0.52000001
6,0,0.66666666
6,1,0.48000002
7,0,0.5625
7,1,0.52000001
8,0,0.56
8,1,0.59999999
9,0,0.56
9,1,0.63999999
10,0,0.59999999
10,1,0.6111111
11,0,0.52000001
11,1,0.59999999
12,0,0.57692307
12,1,0.65384614
13,0,0.59999999
13,1,0.5
14,0,0.48000002
14,1,0.72
15,0,0.59999999
15,1,0.56
16,0,0.63999999
16,1,0.58823529
17,0,0.57692307
17,1,0.59999999
18,0,0.56
18,1,0.66666666
19,0,0.52000001
19,1,0.56
20,0,0.68000001
20,1,0.63999999
21,0,0.48000002
21,1,0.56
22,0,0.63999999
22,1,0.48000002
23,0,0.52000001
23,1,0.68000001
24,0,0.68000001
24,1,0.5
25,0,0.56
25,1,0.61538461
26,0,0.59999999
26,1,0.5625
27,0,0.42307693
27,1,0.38461536
28,0,0.52000001
28,1,0.52000001
29,0,0.68000001
29,1,0.63999999
30,0,0.52000001
30,1,0.7368421
31,0,0.48000002
31,1,0.56
32,0,0.65000001
32,1,0.63999999
33,0,0.63157895
33,1,0.56
34,0,0.52631578
34,1,0.63157895
35,0,0.68421054
35,1,0.52000001
36,0,0.56
36,1,0.52000001
37,0,0.47058821
37,1,0.75
38,0,0.47058821
38,1,0.48000002
39,0,0.48000002
39,1,0.38461536
40,0,0.70588234
40,1,0.66666666
41,0,0.63999999
41,1,0.57692307
42,0,0.52941176
42,1,0.5
43,0,0.53846154
43,1,0.5
44,0,0.7368421
44,1,0.72
45,0,0.63157895
45,1,0.48000002
46,0,0.38461536
46,1,0.59999999
47,0,0.59999999
47,1,0.72
48,0,0.76470588
48,1,0.59999999
49,0,0.5
49,1,0.64705881
50,0,0.48000002
50,1,0.52000001
51,0,0.68421054
51,1,0.76470588
52,0,0.5625
52,1,0.68000001
53,0,0.68421054
53,1,0.56
54,0,0.48000002
54,1,0.48000002
55,0,0.625
55,1,0.42307693
56,0,0.6111111
56,1,0.59999999
57,0,0.48000002
57,1,0.52941176
58,0,0.52000001
58,1,0.48000002
59,0,0.63999999
59,1,0.63157895
60,0,0.63157895
60,1,0.5
61,0,0.6111111
61,1,0.6111111
62,0,0.48000002
62,1,0.72
65,0,0.56
65,1,0.66666666
66,0,0.63999999
66,1,0.69999999
67,0,0.5
67,1,0.52631578
68,0,0.59999999
68,1,0.59999999
69,0,0.48000002
69,1,0.64705881
70,0,0.52941176
70,1,0.56
71,0,0.42307693
71,1,0.75
72,0,0.58823529
72,1,0.59999999
73,0,0.5
73,1,0.38461536
74,0,0.64705881
74,1,0.48000002
75,0,0.56
75,1,0.42307693
76,0,0.59999999
76,1,0.52941176
77,0,0.625
77,1,0.63157895
78,0,0.48000002
78,1,0.52000001
79,0,0.56
79,1,0.53846154
80,0,0.52000001
80,1,0.53333333
81,0,0.58823529
81,1,0.59999999
82,0,0.57692307
82,1,0.52000001
83,0,0.69999999
83,1,0.5
84,0,0.6111111
84,1,0.58823529
85,0,0.48000002
85,1,0.38461536
86,0,0.59999999
86,1,0.69230768
87,0,NA
87,1,NA
88,0,0.59999999
88,1,0.48000002
89,0,NA
89,1,NA
90,0,0.59999999
90,1,0.52000001
91,0,0.59999999
91,1,0.53846154
92,0,0.5
92,1,0.47058821
93,0,0.6111111
93,1,0.52000001
94,0,0.6111111
94,1,0.72222221
95,0,0.52000001
95,1,0.63999999
96,0,0.5625
96,1,0.6111111
97,0,0.56
97,1,0.5
98,0,0.58823529
98,1,0.52941176
99,0,0.48000002
99,1,0.42307693
100,0,0.6111111
100,1,0.56
101,0,0.38461536
101,1,0.42307693
102,0,0.66666666
102,1,0.5625
103,0,0.52000001
103,1,0.56
104,0,0.48000002
104,1,0.42307693
105,0,0.5625
105,1,0.58823529
106,0,0.42307693
106,1,0.56
107,0,0.48000002
107,1,0.68000001
108,0,0.7368421
108,1,0.75
109,0,0.69999999
109,1,0.6111111
110,0,0.63157895
110,1,0.5
111,0,0.52000001
111,1,0.76470588
112,0,0.6111111
112,1,0.56
113,0,0.59999999
113,1,0.48000002
114,0,0.57692307
114,1,0.56
115,0,0.48000002
115,1,0.38461536
116,0,0.42307693
116,1,0.59999999
117,0,0.56
