id,timepoint,academic_score
1,0,123
2,0,128.5
3,0,137
4,0,111.5
5,0,113
6,0,113.5
7,0,98.5
8,0,126
9,0,140.5
10,0,113
11,0,98.5
12,0,112.5
13,0,114
14,0,131
15,0,128.5
16,0,129
17,0,123
18,0,133.5
19,0,125
20,0,121
21,0,113.5
22,0,134
23,0,125
24,0,120.5
25,0,96.5
26,0,112
27,0,117
28,0,112.5
29,0,132
30,0,123
31,0,111.5
32,0,98.5
33,0,109.5
34,0,125.5
35,0,108
36,0,121.5
37,0,93.5
38,0,109.5
39,0,111.5
40,0,122
41,0,103
42,0,110
43,0,130
44,0,111
45,0,109.5
46,0,104
47,0,130
48,0,106
49,0,123
50,0,137
51,0,130
52,0,111.5
53,0,130
54,0,134
55,0,103
56,0,130
57,0,118
58,0,133.5
59,0,109
60,0,128.5
61,0,123
62,0,128
65,0,110
66,0,118
67,0,113.5
68,0,132
69,0,90
70,0,130
71,0,135
72,0,106
73,0,98.5
74,0,106.5
75,0,121
76,0,111.5
77,0,109.5
78,0,104.5
79,0,130
80,0,112.5
81,0,125
82,0,111.5
83,0,134
84,0,106.5
85,0,109.5
86,0,126.5
87,0,122
88,0,134.5
89,0,NA
90,0,119
91,0,128.5
92,0,116.5
93,0,122
94,0,125
95,0,127
96,0,130
97,0,121
98,0,112.5
99,0,120
100,0,98.5
101,0,109.5
102,0,98.5
103,0,122
104,0,95
105,0,130
106,0,114.5
107,0,122
108,0,114.5
109,0,113
110,0,132.5
111,0,111.5
112,0,125.5
113,0,112.5
114,0,113
115,0,134.5
116,0,112.5
117,0,128.5
118,0,96
119,0,117
120,0,98.5
121,0,111.5
122,0,137
123,0,113
124,0,93
125,0,132.5
126,0,128.5
127,0,112.5
128,0,NA
129,0,112.5
130,0,113
131,0,111.5
132,0,123.5
134,0,113
135,0,121
136,0,122
137,0,98.5
138,0,121.5
139,0,114.5
140,0,130
141,0,123
142,0,125
143,0,98.5
144,0,128.5
145,0,111.5
146,0,127
147,0,116.5
148,0,123
149,0,98.5
150,0,123
151,0,118
152,0,110
153,0,132
154,0,135
155,0,128.5
156,0,112.5
157,0,110
158,0,126
159,0,98.5
160,0,128
161,0,111.5
162,0,130
163,0,118
164,0,113
165,0,109
166,0,123
167,0,115.5
168,0,NA
169,0,NA
170,0,127
171,0,134.5
172,0,116
173,0,117
174,0,116.5
175,0,110
176,0,118
177,0,111.5
178,0,114.5
179,0,108
180,0,118.5
181,0,NA
182,0,111.5
183,0,106
184,0,109
185,0,112.5
186,0,125
187,0,116
188,0,122
189,0,119
190,0,111
191,0,132
192,0,92
193,0,121
194,0,115
195,0,112.5
196,0,106
197,0,NA
198,0,126
199,0,109.5
200,0,103.5
201,0,111.5
202,0,111.5
203,0,111
204,0,123
205,0,NA
206,0,NA
207,0,NA
208,0,134.5
209,0,120
210,0,NA
211,0,108.5
