id,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
1,M,12.44444444,1,7,17,21,3,15.78947368,-5.397101039
2,M,9.825,2,8,29,31,9,29.03225806,-2.657759774
3,M,12.46388889,2,7,23,24,14,58.33333333,-7.271595887
4,F,11.83888889,1,6,11,11,1,9.090909091,-10.06874666
5,M,7.611111111,2,8,21,25,0,0,-12.12877727
6,F,7.894444444,2,8,24,24,15,62.5,-11.14073729
7,F,7.019444444,2,8,20,20,4,20,-0.397881039
8,M,6.747222222,1,8,21,21,7,33.33333333,-4.924068256
9,M,9.816666667,1,8,15,17,7,46.66666667,-3.743527966
10,M,11.10555556,1,4,8,8,4,50,-4.815838193
11,M,8.319444444,2,6,10,10,3,30,-11.70008436
12,M,13.31666667,1,6,10,11,3,30,10.63622881
13,M,10.19166667,2,7,21,22,2,9.523809524,-5.47400772
14,F,7.988888889,1,7,21,24,4,17.39130435,-4.855376307
15,M,10.6,1,8,25,27,6,23.07692308,4.668904041
16,F,7.197222222,1,8,12,15,9,64.28571429,-1.273905706
17,M,10.43333333,1,7,20,21,0,0,-2.425941022
18,F,8.533333333,1,7,20,22,5,23.80952381,-4.623863172
19,M,6.769444444,2,8,14,15,7,50,-0.858355906
20,F,6.280555556,1,8,22,24,6,26.08695652,-8.254373957
21,F,9.669444444,2,8,26,26,3,11.53846154,-4.573440018
22,M,12.12777778,2,7,23,23,3,13.04347826,-7.414721613
23,M,8.211111111,1,3,6,6,4,66.66666667,-16.82935118
24,F,9.855555556,2,2,3,3,2,66.66666667,-12.15139255
25,F,8.925,1,8,31,31,21,67.74193548,-6.464053606
26,M,7.777777778,2,7,12,12,2,16.66666667,-16.45539284
27,M,12.61388889,2,7,20,20,2,10,-5.976103256
28,F,8.216666667,2,7,18,23,6,28.57142857,3.505370977
29,M,8.416666667,1,7,19,19,10,52.63157895,-1.551396059
30,F,10.67777778,1,7,22,22,1,4.545454545,-3.738674676
31,F,10.67777778,1,7,23,26,1,4.347826087,-8.089684289
32,M,6.372222222,2,8,32,34,6,18.75,-2.644401409
33,F,6.375,2,8,26,27,6,22.22222222,-5.914525327
34,F,7.344444444,1,7,23,23,9,39.13043478,-5.586923874
35,F,6.391666667,1,4,5,5,1,20,-49.27718173
36,F,6.630555556,2,6,16,16,7,43.75,-11.85479806
37,F,6.280555556,1,3,6,11,0,0,2.523729267
38,F,8.502777778,2,8,16,19,7,41.17647059,-12.09961233
39,F,10.54444444,2,4,4,4,0,0,-67.07229196
40,M,9.616666667,1,6,12,13,9,69.23076923,-7.56726116
41,F,6.191666667,1,7,10,10,3,30,-12.63661247
42,F,10.92222222,2,4,6,7,2,33.33333333,-42.4189876
43,F,7.9,2,6,6,6,0,0,-78.31253629
44,M,9.494444444,2,5,5,5,0,0,-64.60448758
45,F,7.033333333,2,8,11,13,3,27.27272727,7.216829838
46,F,8.811111111,2,7,22,28,7,30.43478261,-1.775282573
47,F,9.558333333,1,8,27,32,14,45.16129032,-2.023230921
48,M,8.886111111,2,7,20,21,3,14.28571429,-6.659520109
49,M,7.308333333,2,6,6,6,0,0,-73.71726692
50,F,6.680555556,1,7,25,28,9,32.14285714,-8.861868889
51,F,9.236111111,2,5,5,5,0,0,-82.22801566
52,F,10.28055556,1,8,28,32,1,3.225806452,-2.413426008
53,F,8.686111111,1,7,18,18,7,38.88888889,-5.782615337
54,M,6.761111111,1,7,22,23,5,21.73913043,-11.4919025
55,F,7.686111111,2,8,21,21,9,42.85714286,-5.564052343
56,F,9.052777778,2,6,12,14,4,30.76923077,2.014469468
57,M,8.908333333,2,8,12,14,10,76.92307692,1.102319399
58,M,7.652777778,2,8,30,30,4,13.33333333,-11.85406918
59,M,7.580555556,1,7,14,29,5,33.33333333,-16.19299453
60,F,6.786111111,1,7,10,10,3,30,-88.59206362
61,M,9.65,1,8,17,17,10,58.82352941,2.781496156
62,F,9.886111111,1,5,9,12,0,0,-19.43421938
65,M,10.08333333,1,8,14,16,2,12.5,-3.361926542
66,M,8.119444444,1,8,16,18,2,11.11111111,-12.12077162
67,M,10.13888889,2,8,15,16,7,43.75,-12.50899122
68,M,6.525,2,7,17,20,9,47.36842105,-4.380297222
69,M,6.852777778,1,7,12,12,2,15.38461538,-5.043117487
70,F,6.655555556,2,7,12,12,4,33.33333333,-15.52103396
71,F,6.152777778,1,8,29,37,6,20.68965517,0.750069588
72,F,8.433333333,1,6,8,8,2,25,-13.46152829
73,M,10.75555556,2,8,27,29,11,37.93103448,-3.891321686
74,F,10.06111111,2,8,29,29,4,13.79310345,-4.955492519
75,F,8.997222222,2,5,10,10,1,10,-20.56496593
76,F,10.2,1,8,25,28,3,10.71428571,0.417695379
77,F,6.241666667,1,8,28,30,9,30,-6.687573151
78,F,9.641666667,1,5,9,9,3,33.33333333,-7.780695229
79,F,10.51111111,2,8,18,23,3,16.66666667,-2.190941155
80,F,10.77777778,1,5,15,22,7,35,-12.58187423
81,M,8.9,1,5,8,10,5,55.55555556,-18.335716
82,F,7.075,1,8,21,24,6,25,-12.80200937
83,F,7.075,1,7,18,21,6,28.57142857,-15.66847148
84,F,10.64722222,2,3,3,3,1,33.33333333,-61.06397522
85,F,9.855555556,2,7,14,15,9,60,-21.82623925
86,F,9.552777778,1,5,6,6,4,66.66666667,-21.53209382
87,M,,1,2,6,6,4,66.66666667,68.76039914
88,F,9.452777778,2,7,18,20,2,11.11111111,-2.448162992
89,F,9.67,2,,,,,,
90,F,9.472222222,2,7,25,25,23,92,-9.752868471
91,F,9.636111111,2,8,19,19,0,0,-3.885014048
92,F,11.08611111,2,7,12,13,5,41.66666667,-21.26124083
93,F,10.35,1,7,17,17,9,52.94117647,-5.270248551
94,F,8.563888889,1,6,15,16,9,56.25,-13.94614913
95,M,7.630555556,1,8,25,33,8,26.66666667,-0.628957947
96,M,8.097222222,1,6,7,7,3,42.85714286,-56.75940599
97,F,7.916666667,2,8,27,29,13,44.82758621,-7.286561836
98,M,10.45555556,2,8,29,30,7,23.33333333,-3.834313005
99,F,9.586111111,2,8,21,22,1,4.545454545,-10.45723756
100,F,6.513888889,2,8,22,22,3,13.63636364,-6.577515717
101,F,7.347222222,2,8,23,24,10,41.66666667,-6.823955378
102,F,6.963888889,2,8,22,22,2,9.090909091,-11.47549974
103,F,10.81111111,1,6,14,15,2,14.28571429,-16.83416205
104,F,9.319444444,2,8,23,25,12,52.17391304,-8.503327602
105,F,8.830555556,1,7,19,20,0,0,-7.190791275
106,F,8.961111111,1,8,20,23,4,19.04761905,-5.270658323
107,F,10.20555556,1,5,10,10,4,40,-12.04821259
108,M,8.702777778,1,6,12,13,3,23.07692308,-4.788239837
109,M,9.244444444,1,8,26,28,2,7.692307692,-4.929832352
110,F,8.186111111,2,7,17,24,8,40,-5.480181187
111,M,8.066666667,1,5,6,6,4,66.66666667,7.259121933
112,M,6.283333333,1,8,30,33,16,51.61290323,0.361893879
113,F,10.80277778,2,6,13,13,1,7.692307692,-7.31479121
114,F,9.091666667,1,8,19,23,18,94.73684211,-2.336584133
115,F,8.363888889,2,6,15,18,3,18.75,-17.9718925
116,F,7.15,1,4,5,5,1,20,9.158676286
117,M,7.486111111,2,5,5,5,0,0,-45.94536363
118,F,6.833333333,2,5,8,11,2,22.22222222,-86.7068465
119,F,9.155555556,2,6,18,22,4,21.05263158,-11.29817029
120,M,8.458333333,1,8,22,26,15,68.18181818,-1.487563275
121,F,7.602777778,2,5,16,17,3,17.64705882,3.455538381
122,M,7.102777778,1,6,15,16,3,18.75,-11.39519116
123,M,9.077777778,1,6,20,20,6,30,-1.213454333
124,M,9.172222222,2,5,8,9,2,25,-36.53449674
125,M,7.633333333,2,8,33,34,4,12.12121212,-0.186780378
