id,creativity,timepoint
1,12,0
2,23,0
3,5,0
4,34,0
5,22,0
6,22,0
7,41,0
8,19,0
9,32,0
10,6,0
11,11,0
12,4,0
13,26,0
14,33,0
15,28,0
16,15,0
17,28,0
18,21,0
19,23,0
20,24,0
21,28,0
22,21,0
23,26,0
24,34,0
25,25,0
26,21,0
27,21,0
28,33,0
29,4,0
30,20,0
31,26,0
32,21,0
33,37,0
34,21,0
35,15,0
36,22,0
37,18,0
38,40,0
39,15,0
40,14,0
41,15,0
42,26,0
43,19,0
44,16,0
45,27,0
46,38,0
47,34,0
48,5,0
49,36,0
50,11,0
51,20,0
52,14,0
53,23,0
54,22,0
55,26,0
56,28,0
57,30,0
58,30,0
59,21,0
60,24,0
61,3,0
62,39,0
65,22,0
66,21,0
67,29,0
68,10,0
69,4,0
70,34,0
71,24,0
72,21,0
73,30,0
74,22,0
75,31,0
76,13,0
77,13,0
78,4,0
79,24,0
80,26,0
81,26,0
82,20,0
83,4,0
84,17,0
85,17,0
86,30,0
87,39,0
88,22,0
89,NA,0
90,28,0
91,34,0
92,11,0
93,24,0
94,16,0
95,26,0
96,15,0
97,24,0
98,16,0
99,27,0
100,25,0
101,2,0
102,26,0
103,33,0
104,22,0
105,24,0
106,31,0
107,32,0
108,34,0
109,20,0
110,36,0
111,33,0
112,24,0
113,37,0
114,15,0
115,8,0
116,26,0
117,22,0
118,24,0
119,28,0
120,18,0
121,22,0
122,23,0
123,22,0
124,26,0
125,9,0
126,29,0
127,26,0
128,NA,0
129,4,0
130,21,0
131,31,0
132,17,0
134,29,0
135,22,0
136,27,0
137,34,0
138,17,0
139,19,0
140,17,0
141,22,0
142,26,0
143,31,0
144,24,0
145,7,0
146,13,0
147,20,0
148,17,0
149,23,0
150,31,0
151,28,0
152,24,0
153,15,0
154,34,0
155,28,0
156,24,0
157,29,0
158,28,0
159,26,0
160,21,0
161,22,0
162,15,0
163,37,0
164,19,0
165,23,0
166,15,0
167,26,0
168,19,0
169,31,0
170,6,0
171,32,0
172,28,0
173,37,0
174,27,0
175,25,0
176,21,0
177,21,0
178,28,0
179,29,0
180,15,0
181,7,0
182,22,0
183,27,0
184,24,0
185,23,0
186,22,0
187,23,0
188,34,0
189,27,0
190,27,0
191,35,0
192,19,0
193,27,0
194,22,0
195,29,0
196,25,0
197,29,0
198,NA,0
199,NA,0
200,24,0
201,16,0
202,27,0
203,NA,0
204,22,0
205,NA,0
206,NA,0
207,NA,0
208,15,0
209,20,0
210,NA,0
211,NA,0
212,NA,0
213,11,0
214,21,0
215,NA,0
216,NA,0
217,4,0
218,NA,0
219,NA,0
220,NA,0
221,4,0
222,15,0
223,NA,0
224,NA,0
225,NA,0
226,24,0
227,NA,0
228,24,0
229,NA,0
230,NA,0
231,NA,0
232,NA,0
233,27,0
234,NA,0
235,NA,0
237,21,0
238,6,0
246,24,0
247,11,0
250,22,0
251,34,0
1,14,1
2,5,1
3,20,1
4,27,1
5,19,1
6,23,1
7,5,1
8,11,1
9,16,1
10,12,1
11,5,1
12,33,1
13,21,1
14,12,1
15,22,1
16,8,1
17,16,1
18,26,1
19,12,1
20,21,1
21,21,1
22,17,1
23,11,1
24,19,1
25,4,1
26,19,1
27,15,1
28,22,1
29,11,1
30,20,1
31,7,1
32,2,1
33,26,1
34,14,1
35,11,1
36,2,1
37,8,1
38,8,1
39,26,1
40,7,1
41,15,1
42,19,1
43,12,1
44,22,1
45,22,1
46,13,1
47,21,1
48,20,1
49,12,1
50,17,1
51,12,1
52,20,1
53,21,1
54,10,1
55,21,1
56,19,1
57,20,1
58,26,1
59,15,1
60,21,1
61,12,1
62,20,1
65,12,1
66,16,1
67,31,1
68,9,1
69,20,1
70,20,1
71,3,1
72,11,1
73,23,1
74,14,1
75,27,1
76,16,1
77,24,1
78,20,1
79,29,1
80,30,1
81,20,1
82,11,1
83,32,1
84,2,1
85,15,1
86,20,1
87,NA,1
88,14,1
89,NA,1
90,15,1
91,23,1
92,17,1
93,27,1
94,8,1
95,24,1
96,20,1
97,27,1
98,14,1
99,13,1
100,21,1
101,2,1
102,19,1
103,25,1
104,8,1
105,18,1
106,26,1
107,20,1
108,13,1
109,20,1
110,26,1
111,11,1
112,16,1
113,30,1
114,24,1
115,5,1
116,11,1
117,12,1
118,11,1
119,17,1
120,11,1
121,18,1
122,15,1
123,6,1
124,21,1
125,2,1
126,23,1
127,2,1
128,11,1
129,24,1
130,10,1
131,20,1
132,28,1
134,21,1
135,8,1
136,24,1
137,21,1
138,2,1
139,10,1
140,16,1
141,21,1
142,18,1
143,22,1
144,30,1
145,10,1
146,4,1
147,26,1
148,23,1
149,26,1
150,12,1
151,9,1
152,20,1
153,21,1
154,27,1
155,NA,1
156,24,1
157,9,1
158,NA,1
159,6,1
160,13,1
161,7,1
162,23,1
163,23,1
164,24,1
165,22,1
166,16,1
167,2,1
168,NA,1
169,NA,1
170,18,1
171,20,1
172,9,1
173,NA,1
174,20,1
175,NA,1
176,26,1
177,8,1
178,6,1
179,11,1
180,22,1
181,NA,1
182,27,1
183,26,1
184,24,1
185,7,1
186,19,1
187,18,1
188,20,1
189,11,1
190,21,1
191,18,1
192,NA,1
193,14,1
194,14,1
195,23,1
196,NA,1
197,NA,1
198,NA,1
199,NA,1
200,NA,1
201,6,1
202,14,1
203,20,1
204,21,1
205,NA,1
206,NA,1
207,NA,1
208,11,1
209,26,1
210,NA,1
211,NA,1
212,NA,1
213,25,1
214,14,1
215,NA,1
216,NA,1
217,11,1
218,NA,1
219,NA,1
220,NA,1
221,21,1
222,20,1
223,NA,1
224,NA,1
225,NA,1
226,6,1
227,NA,1
228,20,1
229,NA,1
230,NA,1
231,NA,1
232,NA,1
233,18,1
234,NA,1
235,NA,1
237,23,1
238,18,1
246,12,1
247,16,1
250,24,1
