id,timepoint,group,Train_Coef,UG_Offer_Accept,tot_delay_perc,DG_UG_Diff,DG_Coins_Given,Age_Frac
1,0,1,-5.397101039,0,11.11111111,1,2,12.44444444
1,1,1,-5.397101039,0,33.33333333,0,3,12.71388889
1,2,1,-5.397101039,0,50,3,0,14.21944444
2,0,2,-2.657759774,0,11.11111111,1,3,9.825
2,1,2,-2.657759774,0,22.22222222,1,2,10.05
2,2,2,-2.657759774,1,100,-2,3,11.5
3,0,2,-7.271595887,0,50,0,3,12.46388889
3,1,2,-7.271595887,0,66.66666667,0,3,12.68888889
3,2,2,-7.271595887,1,100,0,3,14.13888889
4,0,1,-10.06874666,1,11.11111111,1,2,11.83888889
4,1,1,-10.06874666,1,11.11111111,0,2,12.05277778
4,2,1,-10.06874666,0,100,1,2,13.45
5,0,2,-12.12877727,0,55.55555556,2,1,7.611111111
5,1,2,-12.12877727,1,88.88888889,1,2,7.827777778
5,2,2,-12.12877727,1,94.44444444,0,3,9.172222222
6,0,2,-11.14073729,0,27.77777778,1,2,7.894444444
6,1,2,-11.14073729,0,22.22222222,1,2,8.102777778
6,2,2,-11.14073729,0,33.33333333,0,3,9.513888889
7,0,2,-0.397881039,1,27.77777778,0,3,7.019444444
7,1,2,-0.397881039,1,33.33333333,0,3,7.233333333
7,2,2,-0.397881039,1,44.44444444,-2,3,8.605555556
8,0,1,-4.924068256,0,0,1,2,6.747222222
8,1,1,-4.924068256,1,0,3,0,6.952777778
8,2,1,-4.924068256,0,88.88888889,0,3,8.516666667
9,0,1,-3.743527966,1,100,1,2,9.816666667
9,1,1,-3.743527966,1,100,1,2,10.02222222
9,2,1,-3.743527966,1,100,1,2,11.58611111
10,0,1,-4.815838193,1,66.66666667,1,2,11.10555556
10,1,1,-4.815838193,NA,NA,NA,NA,NA
10,2,1,-4.815838193,NA,NA,NA,NA,NA
12,0,1,10.63622881,1,100,0,3,12.48
12,1,1,10.63622881,1,94.44444444,2,1,12.69
12,2,1,10.63622881,1,100,0,3,14.04
13,0,2,-5.47400772,0,55.55555556,1,2,10.19166667
13,1,2,-5.47400772,1,50,1,0,10.37777778
13,2,2,-5.47400772,0,100,1,2,11.72222222
