id,SES
1,1.5
2,1
3,1
4,2
5,1
6,1.5
7,3
8,1.5
9,1.5
10,1
12,1.75
13,1.5
14,1.5
15,1.5
16,1.5
17,1
18,1
19,2.5
20,1.5
21,2
22,2
23,2.5
24,2.25
25,3.25
26,1
27,1.5
28,1.5
29,1.333333333
30,1
31,1
32,1
33,1.25
34,1.5
35,2
36,3
37,1
38,2
39,2.25
40,1.5
41,1.5
42,1.75
43,1
44,1
45,1.25
46,1
47,2.25
48,2.5
49,2
50,2.25
51,2
52,1.25
53,1.25
54,1.25
55,1.25
56,1.5
57,2
58,1.25
59,2.5
60,1.5
61,1.25
62,2
65,1
66,1
67,
68,
69,1.75
70,1.5
71,1.5
72,2
73,1
74,1.5
75,1.5
76,2.75
77,2.75
78,1.25
79,1.25
80,1.25
81,1.25
82,1.5
83,1.5
84,1.5
85,1.25
86,1.25
87,1.25
88,1
89,1
90,1.5
91,1.5
92,1.75
93,1.25
94,1.25
95,
96,1
97,1.25
98,1.25
99,1
100,1.75
101,1.25
102,1
103,1
104,1
105,1.5
106,2
107,1.75
108,1.5
109,3.75
110,1.5
111,2
112,3.75
113,1
114,3.333333333
115,1.25
116,1.5
117,1.25
118,2
119,1
120,1.666666667
121,1
122,1.5
123,1.5
124,1.5
125,1.75
126,1.75
127,1.5
128,1.75
129,2.25
130,1.25
131,2.5
132,2
134,2.75
135,2.75
136,3.5
137,1.25
138,1.25
139,2.5
140,2
141,1.5
142,1
143,1.75
144,3
145,1.75
146,2
147,1.5
148,
149,1
150,1
152,1
153,1.75
154,1.25
155,1.5
156,2.75
157,1.75
158,1
159,2.25
160,1.25
161,2.25
162,1
163,1
164,1.75
165,1
166,1.25
167,
168,2.5
169,1.5
170,1.25
171,1.25
172,
173,1.25
174,1.25
175,1.666666667
176,2
177,2.5
178,2.5
179,1.75
180,1.75
181,1.25
182,
183,2.25
184,1.75
185,1.75
186,2.75
187,1.75
188,1
189,1
190,1.5
191,1.25
192,
193,3
194,2
195,2
196,1.333333333
197,1.333333333
198,1.25
199,1.25
200,3.25
201,1
202,1
203,1.5
204,1.5
205,
208,2.25
209,2.5
210,1.25
211,1.25
212,1.25
213,1
214,1
215,3.75
216,3.75
217,1.25
221,1.25
222,2
223,1.25
226,1.25
227,
228,1.5
232,2.25
233,1
237,1.25
238,1.25
246,3
247,3
250,1.5
251,1.25
252,1.5
255,2.5
256,1
258,1
259,1
260,1.25
261,1.25
262,1.5
263,1.5
265,
